film_id,vote_votants,vote_moyenne
9493,2126,6.01
9494,2200,6.27
9495,3696,7.52
9504,1259,7.37
9507,224,5.50
9531,1599,5.50
9533,4033,7.02
9538,1110,6.74
9542,837,6.94
9545,387,6.10
9549,809,7.40
9550,1531,7.27
9552,7603,7.70
9556,1253,6.43
9558,597,6.72
9559,1543,7.47
9560,900,7.25
9569,570,5.98
9570,450,5.85
9571,1913,7.35
9574,2235,5.60
9576,1645,7.22
9586,447,5.50
9587,1152,7.30
9588,348,6.60
9589,1252,7.33
9591,818,6.87
9593,2544,6.44
9594,987,6.10
9595,2030,6.60
9599,816,6.75
9602,4115,6.88
9603,4161,7.28
9604,1369,6.22
9607,1240,4.40
9610,1398,6.09
9612,856,5.36
9618,1788,6.40
9626,773,5.30
9644,680,6.02
9647,1427,6.80
9651,557,5.40
9659,4054,6.69
9663,797,6.90
9665,1512,7.48
9671,1782,6.40
9686,346,6.25
9691,1471,6.47
9699,256,5.20
9702,1204,8.10
9710,243,4.76
9717,216,6.57
9739,3449,6.71
9740,4466,6.77
9741,9149,7.14
9748,184,6.30
9749,623,6.73
9754,889,5.83
9768,1439,6.56
9800,4038,7.00
9804,3473,6.21
9838,379,5.47
9846,600,7.11
9869,1514,6.68
9873,396,6.54
9874,1634,6.07
9876,952,5.30
9882,1240,6.29
9886,1273,5.75
9922,1024,6.25
9930,198,6.01
9941,238,5.87
9942,722,6.90
9944,1455,6.60
9952,1228,6.95
9967,184,6.20
9972,1131,6.82
10003,1056,6.11
10013,513,6.14
10014,1743,5.78
10017,423,6.38
10019,677,6.85
10021,585,6.46
10023,455,5.95
10057,906,6.38
10061,1344,5.85
10065,2106,6.14
10068,944,6.11
10072,1643,6.67
10083,628,6.90
10117,220,5.49
10122,782,6.94
10127,392,6.00
10130,542,6.97
10131,1316,5.85
10134,666,5.67
10135,1041,6.65
10136,1012,5.91
10141,800,7.10
10142,832,7.10
10149,446,7.19
10150,456,7.10
10153,1529,6.11
10157,1450,6.07
10160,1171,5.40
10163,705,5.57
10168,255,6.28
10169,350,5.69
10173,487,6.09
10186,557,6.01
10206,764,5.61
10219,133,6.05
10222,1308,6.79
10246,808,6.41
10249,872,6.49
10260,226,6.60
10264,386,6.60
10295,395,6.50
10303,1079,6.24
10306,447,5.20
10326,839,6.50
10328,1203,6.62
10329,824,5.53
10331,2340,7.62
10333,256,6.60
10337,360,6.40
10344,586,5.56
10372,272,5.44
10377,1456,7.49
10379,340,5.89
10393,940,6.65
10395,851,6.11
10396,474,6.05
10403,747,7.20
10406,617,5.79
10407,410,6.12
10410,309,6.20
10424,331,6.04
10428,1201,6.34
10435,1004,7.44
10439,2850,7.06
10443,289,6.90
10449,312,6.50
10452,341,7.19
10466,1062,6.51
10474,1870,7.39
10484,375,6.60
10486,188,5.37
10488,1089,5.91
10489,938,6.11
10493,681,6.55
10495,1499,5.90
10514,647,7.07
10516,574,6.10
10518,996,7.20
10536,685,7.00
10537,1334,7.12
10543,731,6.34
10551,227,5.68
10552,600,6.77
10553,233,6.20
10585,2775,6.70
10587,1083,5.50
10604,316,7.50
10608,149,6.54
10617,389,7.10
10618,233,7.14
10619,184,6.38
10620,93,5.75
10640,299,5.92
10648,986,7.13
10651,781,6.27
10655,278,6.90
10656,417,6.53
10658,947,5.40
10660,676,6.47
10673,1931,7.17
10675,957,6.73
10692,650,6.73
10699,430,6.40
10708,2065,5.90
10714,434,5.92
10722,502,7.26
10724,510,6.01
10729,330,6.69
10730,782,6.22
10731,1058,6.70
10732,107,5.67
10734,2620,7.50
10750,301,6.41
10753,506,6.99
10765,353,5.94
10766,640,6.45
10768,516,5.86
10771,1841,5.71
10774,1594,7.82
10776,1355,6.91
10780,798,6.84
10786,222,6.31
10792,122,7.15
10798,187,6.03
10802,1158,5.50
10803,867,6.60
10806,648,6.50
10823,954,5.73
10843,1350,7.48
10849,954,7.39
10854,245,5.69
10859,373,6.47
10860,618,7.20
10868,544,7.03
10890,848,6.55
10897,1133,6.78
10911,737,7.31
10915,147,6.30
10925,1927,7.14
10935,335,6.77
10937,315,6.87
10939,256,6.57
10945,332,6.10
10957,1194,6.43
10974,527,7.00
10998,1358,6.84
10999,2633,6.67
11000,1123,7.02
11002,433,6.35
11006,670,6.97
11008,736,6.36
11009,1811,6.73
11011,2143,5.89
11018,379,6.86
11027,466,6.54
11031,1316,7.45
11033,848,6.92
11034,448,6.31
11037,283,5.47
11039,189,6.20
11046,833,7.55
11050,706,7.08
11051,984,7.22
11060,361,6.26
11066,534,5.67
11067,305,5.71
11068,352,6.35
11074,772,5.84
11077,780,6.00
11082,329,6.04
11087,838,6.90
11092,624,6.79
11120,443,6.36
11133,620,6.02
11134,464,6.85
11144,305,6.80
11153,1451,7.12
11157,357,5.90
11158,1110,5.25
11160,138,6.30
11177,409,7.18
11183,844,6.58
11186,1718,6.28
11191,473,6.30
11205,367,6.90
11215,343,6.34
11221,107,4.20
11223,380,6.75
11231,957,5.36
11249,1513,5.44
11259,1133,6.76
11281,1894,6.60
11284,1234,5.31
11286,579,6.13
11287,1306,4.50
11296,480,7.14
11298,704,6.58
11300,310,6.60
11305,405,7.29
11308,104,5.61
11310,289,5.20
11317,450,5.92
11318,216,6.74
11324,23014,8.20
11327,1608,7.51
11336,1532,7.03
11338,266,6.52
11347,228,5.90
11352,555,6.29
11364,544,6.55
11368,1303,7.25
11372,299,6.61
11379,389,6.00
11381,894,6.79
11393,554,6.88
11400,1101,6.50
11411,1170,4.55
11415,514,6.12
11416,1343,7.40
11422,272,6.63
11428,492,6.07
11448,626,6.73
11449,854,6.29
11465,297,6.30
11472,611,5.71
11474,2017,7.67
11477,298,6.90
11479,559,6.00
11482,1035,7.65
11484,484,6.23
11495,641,6.30
11498,352,6.42
11499,1152,7.28
11507,723,6.74
11509,666,6.96
11510,289,5.14
11519,572,5.80
11521,265,6.55
11522,1044,6.80
11524,609,7.20
11527,957,6.95
11528,1085,7.50
11530,291,6.40
11532,215,6.69
11533,559,7.15
11539,69,5.60
11541,299,6.66
11546,800,4.57
11548,668,6.64
11549,993,7.47
11557,496,6.10
11561,730,6.92
11564,322,6.40
11566,700,6.66
11573,73,5.00
11578,220,7.23
11579,165,7.20
11580,155,6.86
11583,330,6.68
11584,586,6.41
11589,674,7.40
11591,396,6.20
11592,623,6.75
11593,277,6.83
11595,805,5.99
11596,1294,6.43
11607,278,5.43
11616,461,6.95
11620,378,7.06
11623,162,6.80
11626,99,6.80
11630,496,5.80
11634,484,7.11
11644,1322,7.35
11649,834,5.70
11654,518,6.65
11657,579,7.63
11667,1374,4.57
11673,722,7.34
11681,243,6.50
11684,100,6.00
11687,1829,7.13
11689,602,6.95
11690,1726,7.03
11694,226,6.40
11696,274,6.91
11709,129,6.85
11718,303,6.00
11778,3603,8.01
11780,586,6.73
11797,1266,7.04
11811,726,5.55
11814,1301,6.54
11816,432,7.27
11824,1059,6.19
11827,646,6.49
11829,850,7.43
11837,581,7.20
11843,575,6.79
11850,996,7.20
11851,312,5.85
11853,220,5.40
11856,552,5.81
11858,278,6.10
11859,273,5.00
11861,171,6.40
11862,694,6.25
11863,251,5.40
11864,911,6.94
11873,1257,6.86
11874,184,6.50
11879,692,6.89
11890,477,6.28
11893,524,6.94
11896,522,6.20
11899,348,6.50
11904,579,6.70
11913,478,6.38
11914,152,5.23
11915,516,6.04
11932,1787,6.04
11934,976,7.09
11943,563,7.29
11948,420,7.30
11950,297,5.40
11955,79,4.43
11963,1074,7.31
11966,558,6.20
11967,856,6.70
11969,1975,7.60
11971,677,6.96
11972,266,7.65
11974,1139,6.76
11976,1138,6.21
11977,1087,6.64
11979,986,6.07
11980,466,6.50
11982,981,5.35
12088,611,6.10
12089,404,6.99
12097,130,6.80
12101,1174,6.95
12102,2085,7.60
12104,1416,7.99
12106,1620,6.50
12110,928,6.08
12111,88,6.60
12120,484,5.70
12122,769,6.08
12127,110,6.98
12139,1383,5.81
12150,586,6.60
12151,376,6.61
12154,951,6.20
12157,455,6.10
12158,546,5.10
12159,2266,7.19
12160,786,6.76
12185,369,6.59
12208,683,5.30
12235,240,6.29
12236,72,4.50
12245,617,5.95
12262,829,6.20
12268,513,6.90
12309,610,6.29
12310,172,6.40
12395,251,6.26
12437,3429,6.51
12444,18270,7.76
12445,19724,8.10
12476,378,6.90
12500,394,5.92
12502,300,6.94
12503,153,6.65
12506,190,7.04
12537,189,6.43
12560,530,6.87
12579,293,7.09
12584,321,7.06
12615,156,6.89
12623,208,6.50
12627,227,7.36
12651,351,6.80
12663,245,5.95
12665,593,6.97
12704,136,4.50
12705,262,5.57
12710,250,6.36
12715,158,5.30
12716,284,7.36
12717,263,7.20
12721,507,6.22
12764,260,5.77
12775,344,6.60
12778,235,6.19
12919,625,6.97
13043,827,5.55
13064,69,5.91
13105,283,6.61
13154,438,6.40
13155,970,6.71
13189,338,7.40
13192,509,6.90
13310,2771,7.53
13319,59,5.17
13333,630,6.42
13342,1150,6.81
13346,205,6.65
13595,679,6.10
13597,2274,7.27
13633,243,6.96
13671,160,7.13
13681,138,7.10
13704,344,6.60
13727,336,4.39
13766,171,5.88
13776,261,6.85
13783,133,7.10
13818,179,6.00
13939,774,6.90
14029,518,6.60
14040,100,6.06
14140,298,5.87
14207,624,6.27
14208,563,6.25
14257,655,7.40
14347,152,5.65
14362,406,6.10
14367,628,6.90
14370,407,6.68
14372,465,5.94
14373,425,6.25
14412,547,7.00
14425,116,5.93
14534,622,7.37
14550,207,6.13
14612,107,6.85
14621,289,7.29
14628,275,6.02
14645,934,7.35
14728,464,6.28
14742,176,6.00
14746,454,6.90
14807,317,7.10
14854,332,6.50
14864,241,6.29
14886,331,7.00
15120,149,4.38
15138,187,5.85
15144,1990,6.78
15152,1668,7.30
15196,1592,7.20
15301,671,6.45
15379,453,5.84
15383,580,8.00
15392,392,7.30
15417,427,6.12
15588,1392,7.13
15592,245,6.64
15596,405,6.34
15613,540,6.60
15618,116,5.55
15677,190,7.11
15698,183,6.02
15739,659,6.52
15764,805,7.34
15785,221,6.00
15983,262,5.75
16082,119,6.70
16084,243,6.10
16113,381,5.88
16121,279,6.75
16153,425,6.97
16235,323,5.70
16248,310,6.36
16263,160,6.20
16270,596,6.90
16281,945,6.93
16288,518,6.23
16297,190,6.81
16314,407,5.67
16363,145,6.16
16638,256,6.90
16642,938,7.49
16769,235,7.23
16780,622,4.61
16814,82,5.77
16820,253,6.40
16858,455,7.46
16938,733,6.93
17006,166,6.40
17102,232,6.75
17169,310,5.78
17258,177,5.65
17277,177,6.48
17339,282,6.25
17360,853,6.88
17362,152,6.10
17365,275,6.78
17381,134,5.50
17465,205,6.13
17466,519,6.22
17496,246,6.50
17529,733,7.40
17538,179,6.46
17692,1193,4.46
17796,143,5.98
17819,124,5.40
18009,295,5.45
18011,208,4.81
18097,25,5.00
18133,87,6.30
18169,202,6.04
18172,243,5.75
18196,186,6.10
18197,290,7.50
18209,142,6.20
18214,216,5.00
18282,179,6.05
18298,291,5.67
18331,391,6.57
18387,166,6.90
18391,115,6.06
18395,85,4.10
18406,53,5.17
18410,242,6.30
18419,111,4.72
18457,348,5.87
18477,224,4.45
18502,417,5.92
18628,139,6.73
18835,177,5.65
18905,147,6.60
18988,314,7.43
19086,181,5.42
19114,192,5.50
19123,621,7.15
19174,113,5.80
19185,804,6.87
19204,538,6.91
19286,297,5.90
19287,206,4.55
19288,179,4.90
19345,186,6.18
19382,193,6.28
19384,271,5.98
19494,456,6.89
19606,85,5.78
19736,65,5.16
19761,179,5.26
19855,188,6.62
19971,294,7.00
20220,49,4.90
20242,109,6.02
20287,148,6.17
20416,206,6.10
20481,431,6.35
20681,125,5.75
20701,350,6.22
20815,203,6.09
20858,113,5.44
21219,166,6.21
21309,253,6.53
21332,84,5.61
21352,113,5.30
21380,120,5.40
21484,983,7.30
21512,127,5.80
21519,438,7.20
21521,259,7.10
21629,411,6.46
21666,49,5.98
21733,253,7.20
21779,39,6.20
21799,94,5.00
21873,111,6.33
21874,108,6.04
21949,32,6.20
22021,233,6.67
22029,64,5.88
22048,203,6.20
22160,188,5.72
22183,121,6.60
22240,136,6.00
22311,213,6.20
22317,114,5.60
22578,45,6.60
22650,146,7.14
22826,589,6.97
22832,1524,6.64
23330,188,7.01
23483,11214,7.12
23587,91,6.30
23761,243,6.40
23942,107,6.17
23943,120,5.25
24070,186,5.43
24099,255,6.10
24100,403,6.83
24229,164,6.90
24248,139,6.80
24260,175,6.33
24274,261,6.40
24583,62,6.19
24679,294,6.84
24742,167,6.89
24750,314,6.87
24795,399,5.91
24803,1994,6.69
24808,168,6.44
24825,115,5.10
24873,380,6.21
24929,553,6.30
24951,90,5.90
25018,506,5.30
25095,261,6.60
25188,628,7.64
25253,482,7.76
25468,348,7.60
25497,76,5.86
25528,137,5.20
25553,66,6.49
25562,235,6.26
25566,149,7.00
25678,249,5.40
25682,153,4.65
25684,105,4.71
25706,22,5.20
25748,234,4.78
25943,98,5.71
26127,141,6.00
26156,37,5.46
26178,3,3.67
26185,84,6.05
26196,66,5.70
26263,269,5.70
26271,1,4.00
26325,1,4.00
26337,107,6.00
26355,137,6.51
26444,158,6.60
26515,424,6.31
26522,167,6.74
26626,43,5.14
26672,116,7.10
26789,164,5.80
26978,111,5.26
26984,82,5.50
27085,152,5.63
27214,204,4.59
27352,224,5.70
27381,196,6.15
27418,216,5.80
27430,220,7.10
27578,7645,6.25
27591,71,5.39
27679,80,5.30
27738,26,5.30
27769,219,5.85
27793,2,1.75
27905,66,5.60
27958,493,6.61
27983,130,6.80
28043,407,7.21
28145,289,7.60
28176,349,6.70
28190,92,6.86
28313,94,6.40
28368,100,6.30
28370,93,6.71
28569,254,7.49
28597,576,5.80
28601,193,4.61
28761,248,6.31
28762,110,5.00
28794,360,6.20
28881,35,6.40
28893,194,5.24
29005,365,7.20
29154,345,7.63
29161,766,6.80
29355,174,6.28
29748,157,6.09
29778,169,6.70
29805,100,6.00
30163,352,6.78
30175,17,4.90
30421,259,7.27
30566,150,5.50
30890,522,7.04
30943,400,6.48
31052,215,6.19
31121,195,6.00
31264,49,3.10
31270,2,3.50
31283,105,6.20
31357,153,6.20
31417,657,7.59
31503,79,5.67
31578,304,6.15
31583,107,5.96
31586,236,5.04
31602,265,7.07
31606,198,6.08
31608,267,6.67
31633,104,5.58
31638,111,5.07
31646,239,4.34
31701,111,6.20
31789,144,5.85
31858,117,6.90
31939,142,6.47
31947,196,5.08
31962,183,6.53
32037,195,6.30
32059,128,4.95
32060,51,6.56
32100,45,5.90
32261,82,5.90
32489,83,6.90
32940,41,5.49
33217,1531,6.20
33258,91,5.06
33278,230,6.21
33337,67,5.92
33357,91,6.41
33360,150,7.70
33521,231,6.34
33701,1145,7.35
34059,136,7.03
34093,60,5.65
34145,103,7.11
34193,247,6.89
34584,3807,7.20
34636,763,5.74
34723,170,6.20
34814,120,5.10
35044,39,5.36
35119,192,6.73
35371,57,6.28
35552,1221,6.16
35588,243,6.29
35645,139,6.30
35797,172,7.00
35831,217,4.60
36324,167,6.81
36349,134,5.60
36351,141,6.60
36571,77,6.20
36573,40,5.15
36576,168,4.70
36593,1922,6.48
36599,392,5.70
36670,1348,6.07
36685,2661,7.47
36859,14,1.86
36914,130,5.75
36955,3833,7.06
37094,3444,7.38
37136,3449,7.25
37137,2079,6.79
37165,17407,8.14
37233,1880,6.74
37247,3155,7.65
37264,68,5.99
37296,81,5.54
37308,86,5.86
37335,64,6.89
37454,84,7.00
37652,563,6.05
37653,704,7.00
37749,96,6.30
37753,138,5.37
37865,141,6.61
37991,165,7.10
38080,119,6.96
38152,34,6.70
38268,17,6.24
38557,114,6.25
38558,78,5.74
38602,260,7.33
38985,463,7.42
39043,109,5.78
39074,109,6.40
39176,72,5.50
39222,97,6.14
39263,89,5.61
39382,43,6.20
39385,490,6.32
39415,85,6.20
39930,35,5.14
39973,93,5.20
39978,58,5.99
40047,113,6.72
40055,68,6.20
40057,20,6.20
40075,79,4.00
40213,114,7.03
40411,133,6.23
40490,163,5.30
40696,79,6.60
40729,86,5.40
40814,154,6.30
40820,121,5.40
40973,36,4.40
40983,63,4.83
41003,126,6.10
41263,59,5.78
41402,1906,6.77
41589,47,6.03
41857,106,6.50
41946,133,6.24
41966,133,6.80
41972,52,6.40
42010,69,6.71
42121,115,6.59
42149,129,6.00
42264,35,6.10
42287,43,5.40
42394,76,5.55
42466,61,5.90
42473,51,6.23
42703,82,5.96
42744,59,5.90
42791,66,6.70
42801,396,7.53
42818,73,7.19
43146,55,7.30
43153,31,6.66
43844,67,7.46
43873,53,7.60
43900,23,6.26
44326,77,6.09
