nom,popularite,pays
Roland,97032,nl
Poncelet,96819,nl
Baars,96629,nl
Kuijper,96340,nl
Van Santen,96121,nl
Van Mourik,95989,nl
Van Der Zee,95760,nl
Melis,95703,nl
Klomp,95639,nl
Van De Sande,95526,nl
Harmens,95445,nl
Swinkels,95441,nl
