AR_Ref,AR_Design,FA_CodeFamille,AR_PrixAch,AR_PrixVen
0120293012,PISTON N16 MC,PRPDI2,0.000000,0.000000
0190049175,RONDELLE (D6.35-11.1-15.9),PRPDI2,0.000000,0.000000
0190281016,BAGUE ANTI EXTRUSION N25,PRPDI2,0.000000,0.000000
01903754278,RONDELLE ANTI EXTRUSION PTFE/CARBONE N50 MB,PRPDI2,0.000000,0.000000
020030LC15,RESSORT INOX CLAPET ASPIRATION,PRPDI2,0.000000,0.000000
0210029028,"""BOITE CLAPET REFT. UB6 1/8"""" NPTF""",PRPDI2,292.600000,532.000000
0210174000,BOITE A CLAPET ASP. 22.2/28.6 LIQUIDES VISQUEUX,PRPDI2,558.250000,1015.000000
0210352016,CORPS DE DOSEUR D266,PRPDI2,2828.800000,4352.000000
022086004,"ELECTROVANNE 2 VOIES NF 1""GAZF 220V 50HZ TYPE ESM86",VAD,58.430000,117.000000
022172002,FILTRE REGULATEUR 1/4 + MANO,ACPV,50.000000,87.000000
022172004,"FILTRE REGULATEUR + MANO 1/2""",ACPV,50.000000,87.000000
0231323003,"PURGEUR A FLOTTEUR 3/8""",VAD,3.570000,8.000000
0231613005,"MANOMETRE A BAIN DE GLYCERINE 1/4""G - PLAGE : 0 - 6 BAR",VAD,7.390000,16.000000
0231613006,"MANOMETRE A BAIN DE GLYCERINE 1/4""G - PLAGE : 0 - 10 BAR",VAD,6.380000,14.000000
0231622005,"MANOMETRE A BAIN DE GLYCERINE 1/4"" AXIAL - PLAGE : 0 - 6 BAR",VAD,10.240000,21.000000
0231623006,MANOMETRE D63 A BAIN DE GLYCERINE 0-10BARS RACC. ARRIERE 1/4'' Gaz,VAD,7.850000,15.000000
0231623011,"MANOMETRE A BAIN DE GLYCERINE D63mm 1/4""AXIAL - PLAGE : 0 - 100 BA",VAD,10.470000,23.000000
0232003004,"TE EGAL INOX 1/2""GAZ FEMELLE",VAD,3.540000,7.500000
0232010006,"COUDE INOX 316 - M / F - 1"" GAZ",VAD,4.520000,9.000000
0232013004,"REDUCTION FEMELLE/FEMELLE - INOX 316 - 1/2""-3/8""""",VAD,2.760000,6.500000
023202008,"FILTRE A TAMIS EN Y - BRONZE - 1""1/2 GAZ femelle - maille 6/10",VAD,15.780000,24.000000
0232021004,"REDUCTION HEXAGONALE MALE 1/2"" - FEMELLE 3/8""",VAD,1.470000,3.000000
0232025003,"RACCORD UNION F/F 3/8"" Gaz femelle",VAD,7.280000,14.550000
0232025004,"RACCORD UNION F/F 1/2""Gaz femelle",VAD,6.650000,13.500000
0232026006,"RACCORD UNION 3 PCES INOX 316 MALE / FEMELLE - 1""GAZ",VAD,12.740000,25.500000
0232030004,"MAMELON HEXAGONAL INOX 1/2"" GAZ MALE",VAD,2.390000,5.000000
0232033006,"REDUCTION INOX 316 FEMELLE / MALE - 1"" x 3/4""",VAD,6.540000,13.000000
0232035004,"RACCORD INOX 316 A TETINE 1/2""GAZ MALE - D. 14",VAD,4.140000,8.500000
0232035005,"RACCORD INOX 316 A TETINE 3/4""GAZ POUR TUYAU DN20",VAD,5.100000,11.000000
0232035006,"EMBOUT TETINE MALE INOX 316 - 1"" GAZ - TETINE DIAM. 26",VAD,6.320000,12.650000
0232035007,"RACCORD CANNELE INOX 316 - 1""1/4 GAZM. - TETINE D34",VAD,14.800000,21.150000
0232201005,"ADAPTATEUR FEMELLE A - 3/4""- RACCORD RAPIDE A CAMES ALUMINIUM",VAD,4.960000,9.920000
0232201006,"ADAPTATEUR FEMELLE A - 1"" - RACCORD RAPIDE A CAMES ALUMINIUM",VAD,4.450000,9.950000
0232203005,"COUPLEUR CANNELE C - 3/4"" - RACCORD RAPIDE A CAMES ALUMINIUM",VAD,12.120000,24.240000
0232203006,"COUPLEUR CANNELE C  1""- RACCORD RAPIDE A CAMES ALUMINIUM",VAD,7.950000,21.000000
0232280025,RACCORD EXPRESS MC CANNELE D.25 A COLLERETTE AVEC JOINT,VAD,9.450000,14.180000
0232281006,"RACCORD EXPRESS MC 1""GAZ MALE AVEC JOINT",VAD,8.290000,12.440000
0232281007,"RACCORD EXPRESS MC 1""1/4 GAZ MALE AVEC JOINT",VAD,4.470000,9.000000
023230007,"FILTRE A TAMIS INOX TYPE 230 - 1""1/4 Gaz fem. - maille 0.8 mm",VAD,61.920000,91.000000
023235100,"FILTRE A TAMIS ACIER GS 25  TYPE 235 - DN100 PN25 - maille 1,2 mm",VAD,468.790000,704.000000
023240025,FILTRE A TAMIS INOX TYPE 240 - DN25 PN16 - maille 0.8 mm,VAD,149.600000,225.000000
023303004,"CLAPET 303 1/2"" FF TPOS",VAD,2.240000,4.500000
023303006,"CLAPET DE RETENUE LAITON F/F 1""",VAD,3.960000,7.950000
023303007,"CLAPET DE RETENUE F/F 1""1/4""",VAD,4.780000,10.000000
023303009,"CLAPET 303 2"" FF TPOS",VAD,9.340000,19.000000
023380004,"CLAPET ANTI RETOUR 3Pces INOX - 1/2"" GAZ FEMELLE",VAD,51.800000,74.000000
023380006,"CLAPET ANTI-RETOUR 3 PCES INOX - 1"" GAZF",VAD,63.530000,96.000000
023383007,"CLAPET DE PIED CREPINE INOX 316 - 3 PIECES - RACC. 1""1/4 GAZF.",VAD,141.400000,236.000000
023391006,"CREPINE INOX 316 (sans clapet) - 1""GAZM - MAILLE 1.2""",VAD,40.530000,54.000000
023391011,"CREPINE INOX 316 (sans clapet)  - 3""GAZm",VAD,49.620000,75.000000
023392004,"CREPINE 1/2"" NYLON/INOX (sans clapet)",VAD,1.690000,3.350000
023392006,"CREPINE 1""NYLON/INOX (sans clapet)",VAD,3.660000,7.320000
023392009,"CREPINE 392 2""F RAC NYLON",VAD,2.860000,6.000000
023482004,"ROBINET LAITON A POINTEAU 1/2""",VAD,7.620000,23.000000
023490008,"ROBINET A FLOTTEUR 1""1/2 TYPE 490 LAITON/INOX/EPDM/PE",VAD,137.170000,206.000000
023584004,"VANNE 3PCES PVC 1/4 tour - 1/2""GAZ fem.",VAD,5.490000,40.000000
023706006,"VANNE A SPHERE INOX 316 - 1""GAZ femelle",VAD,24.000000,36.000000
023706008,"VANNE A SPHERE INOX 316 - 1""1/2 GAZ femelle",VAD,44.730000,68.000000
023706009,"VANNE A SPHERE INOX 316 - 2""GAZ femelle",VAD,65.020000,98.000000
023746006,"VANNE A SPHERE INOX 316 - 3 PIECES TYPE 746 - 1""GAZ FEMELLE",VAD,47.990000,75.000000
023746007,"VANNE A SPHERE INOX 316 3 PIECES TYPE 746 FF 1""1/4""",VAD,67.760000,105.000000
023746009,"VANNE A SPHERE INOX 316 3 PIECES TYPE 746 FF 2""",VAD,128.300000,199.000000
0240002016,"""SIEGE DE SOUPAPE DE RETENUE 1/2""""""",PRPDI1,0.000000,0.000000
0240004016,"""SIEGE DE SOUPAPE 1/2""""""",PRPDI2,367.950000,669.000000
0240008016,"""SIEGE DE SOUPAPE 1""""""",PRPDI2,380.900000,586.000000
0240106012,SIEGE INOX POUR BILLE 9.52,PRPDSMAG,0.000000,0.000000
0240108012,SIEGE INOX POUR BILLE D25,PRPDI1,0.000000,0.000000
0250003075,JOINT PTFE,PRPDI2,25.300000,46.000000
0250134284,JOINT PLAT (D. 116.5 x 101 x 3),PRPDI2,67.100000,122.000000
0250179075,JOINT DE MANOMETRE MC C5,PRPDI2,48.100000,74.000000
0250180075,JOINT DE CORPS MC C5,PRPDI2,44.200000,68.000000
0280054021,"MOTEUR 230/400V 3PH 50HZ 1500TR 0,37KW BA 14x30  FF130  +  VF",PRD,0.000000,0.000000
0280054101,MOTEUR 5.5 KW  1500 T/MM F265/68 + VF 230V,PRPDI2,0.000000,0.000000
0123-401,CORPS DE POMPE VIDE FUT PVDF 41 GLRD R 1000,PCD,566.440000,833.000000
0110-206,CORPS DE POMPE VIDE FUT PP 41 DL/HC L 1200,PCD,360.400000,530.000000
0370018006,VIS PORTE ROULEMENT MC,PRPDI2,206.250000,375.000000
0370045052,BAGUE DE GUIDAGE,PRPDI2,0.000000,0.000000
0370047006,BAGUE DE GUIDAGE,PRPDI2,0.000000,0.000000
0370104006,CHEMISE D100 DM266,PRPDI2,0.000000,0.000000
04300710053,PLOT DE FREINAGE PRIMEROYAL,PRPDI2,0.000000,0.000000
0440021016,FOULOIR MILROYAL E12,PRPDI2,0.000000,0.000000
0440097016,BAGUE SERRAGE GARNITURE N12,PRPDI2,0.000000,0.000000
6-400-17,PIED DE POMPE PNEUMATIQUE,PRPVPN,8.300000,11.900000
0450455071,"""EMBOUT TARAUDE Rp 1""""1/2 VANNE PVC DN40""",PRVAM,0.000000,0.000000
0470407006,TUBE DE REALIMENTATION D16,PRPDI2,91.000000,140.000000
0470421391,TUBE PYREX (D. 115 x 5  -  Lg  424),PRPDI2,0.000000,0.000000
0470576508,PLAQUE DE RENFORT PVC POUR VDA2528 - BAC 1000L,BCM,0.000000,0.000000
0500390000,ENSEMBLE TAMBOURIN MROY B,PRPDI1,1782.300000,2742.000000
0520029200,ENSEMBLE ROUE ET VIS 1/25 MB,PRPDI2,0.000000,0.000000
0520030100,ENSEMBLE ROUE ET VIS 1/12.5,PRPDI2,930.800000,1432.000000
0520041001,Roue d encentrique mroya dx 112,PRPDI1,0.000000,0.000000
0520042001,ROUE EXCENTRIQUE mROY A112 SX,PRPDI1,0.000000,0.000000
0520215176,ROUE EXCENTRIQUE 1/12 C=5.3 D34,PRPDI1,0.000000,0.000000
0520236001,ROUE EXCENTRIQUE 1/8 RB,PRPDI1,0.000000,0.000000
0520284415,CONDUIT DE DOSAGE 04,PRPDI2,0.000000,0.000000
0520284515,CONDUIT DE DOSAGE 05 CN - DP32,PRAG,0.000000,0.000000
05202883361,1/2 ACCOUPLEMENTBA 19x50,PRPDI1,0.000000,0.000000
05203256361,1/2 ACCOUPLEMENT SR75 D38,PRPDI2,0.000000,0.000000
05203301002,DEMI ACCOUPLEMENT SR48 BA30,PRPDI2,0.000000,0.000000
05203334361,1/2 ACCOUPLEMENT MOTEUR PRIMEROYAL PR,PRPDI2,0.000000,0.000000
05600400022,VIS DE BLOCAGE POMPE GM,PRPDSMAG,0.000000,0.000000
0680039006,AXE D'EXCENTRIQUE,PRPDI1,62.400000,96.000000
0680161106,TIGE DE PISTON LG110,PRPDI2,0.000000,0.000000
0680179106,"CHEMISE D41,1",PRPDI1,230.750000,355.000000
0720127373,LANTERNE DOSEUR N3,PRPDSMEC,0.000000,0.000000
0720157001,SUPPORT JOINT DE COULISSEAU,PRPDI2,1081.850000,1967.000000
0810030062,CORPS ALUMINIUM NON PEINT POUR VANNE PIC DN200,PRVAM,0.000000,0.000000
0810227071,CORPS PVC VANNE DN40,PRVAM,0.000000,0.000000
08102960310,CARTER POMPE GM,PRPDSMAG,131.450000,239.000000
0940022100,AGITATEUR MANUEL POUR BAC 60L,BCM,96.600000,161.000000
0940022120,AGITATEUR MANUEL PVC POUR BAC DE 250L,BCM,151.800000,230.000000
0980029083,MANCHON GOMME NATURELLE DN50 GS1,PRVAM,66.500000,213.300000
0980032083,MANCHON GS GOMME PURE DN80,PRVAM,659.450000,1199.000000
0980130599,MEMBRANE VITON D266,PRPDI2,1374.450000,2499.000000
0980164075,MEMBRANE D.106 PTFE,PRPDI2,145.600000,224.000000
0980265075,MEMBRANE ASSIETTE D266,PRPDI2,378.950000,583.000000
0980288075,MEMBRANE D30 EPR=0.75,PRPDI2,91.650000,141.000000
0980319010,MEMBRANE TYPE M52,PRPDI2,124.150000,191.000000
0980338076,RONDELLE INTERMEDIAIRE M 52,PRPDI2,584.650000,1063.000000
0980340016,CORPS DOUBLE MEMBRANE M D52,PRPDI2,811.250000,1475.000000
09804120056,MEMBRANE 225 GSD PTFE/NITRILE,PRPDI2,401.700000,618.000000
098BUTY125,MANCHON DN125 BUTYL POUR VANNE GS,PRVAM,339.150000,1023.000000
098GALIM150,MANCHON DN150 GOMME BLANCHE NON TOXIQUE,PRVAM,372.750000,746.000000
098GALIM200,MANCHON DN200 GOMME BLANCHE NON TOXIQUE,PRVAM,501.900000,1004.000000
098GNAT010,MANCHON DN10 GOMME NATURELLE,PRVAM,16.200000,40.000000
098GNAT025,MANCHON DN25 GOMME NATURELLE,PRVAM,28.000000,73.000000
098GNAT030,MANCHON DN30 GOMME NATURELLE,PRVAM,33.250000,70.000000
098GNAT040,MANCHON DN40 GOMME NATURELLE,PRVAM,38.400000,100.000000
098GNAT060,MANCHON DN60 GOMME NATURELLE,PRVAM,82.650000,174.000000
098GNAT080,MANCHON DN80 GOMME NATURELLE GS1,PRVAM,147.250000,245.000000
098NEOP040,MANCHON DN40 NEOP GS7,PRVAM,0.000000,0.000000
098NEOP065,MANCHON DN65 NEOPRENE,PRVAM,132.050000,264.000000
098NEOP070,MANCHON DN70 NEOPRENE,PRVAM,114.950000,243.000000
098NEOP125,MANCHON DN125 NEOPRENE VANNE GS1,PRVAM,326.800000,700.000000
098NEOP200,MANCHON DN200 NEOPRENE,PRVAM,736.250000,1472.500000
098VITO020,MANCHON DN 20 VITON VANNE GS,PRVAM,91.200000,205.000000
098VITO025,MANCHON DN25 VITON VANNE GS,PRVAM,107.000000,392.000000
098VITO050,MANCHON DN50 VITON VANNE GS,PRVAM,238.500000,835.000000
10000194,POMPE DOSEUSE XB 140 K 5 H 10 / 4S.HD,PDIMRO,0.000000,0.000000
10001255/001,"""POMPE MROY XA58G1H40 - INOX 5.5L/H 40BARS 3/8""""230/400V 3PH 50HZ 37""",PDIMRO,0.000000,0.000000
0100022006,COULISSEAU,PRPDI2,2757.700000,5014.000000
1010014,CONNECTION PP BSP AMP16,PRPVPE,10.920000,18.200000
01010017100,SOUPAPE,PRPDI2,0.000000,0.000000
01010018000,SOUPAPE RENIFLARD,PRPDI2,0.000000,0.000000
1010026,TUBE NR POMPE AMP-16,PRPVPE,67.200000,112.000000
1010027,TUBE NBR POMPE AMP-16C,PRPVPE,69.440000,115.730000
1010028,TUBE EPDM POMPE AMP-16,PRPVPE,74.400000,124.000000
1010030,TUBE NORPRENE POMPE AMP-16,PRPVPE,62.400000,104.000000
1010031,TUBE NR-A POMPE AMP-16,PRPVPE,54.000000,108.000000
1010103,PLAQUE SUPPORT ROTOR AMP16B,PRPVPE,49.250000,70.400000
1010104,AXE ROULEAU AMP16 / AMP 19,PRPVPE,2.280000,3.800000
1010105,RONDELLE,PRPVPE,0.600000,0.900000
1010107,ROULEAU D40 AMP16B,PRPVPE,6.860000,9.800000
1010134,SUPPORT DE ROULEAU AMP16B,PRPVPE,5.490000,7.900000
1010136,ROULEMENT DE ROULEAU AMP,PRPVPE,1.200000,2.000000
101130190,ELECTROPOMPE TYPE PM16/A 230V 1PH 50HZ 0.3kW 10-37L/MIN 33-5MCE,PCM,112.970000,252.000000
10123,FILTRE DE CREPINE PP,PRPDSMAG,6.000000,12.000000
10128,SIEGE 1/2 HYPALON ( marquage vert ),PRPDSMAG,0.000000,0.000000
10138,BILLE CERAMIQUE Ø12.7,PRPDSMAG,11.550000,21.000000
10166,JOINT DE PANNEAU DE COMMANDE LMI P/B,PRPDSMAG,5.500000,11.000000
101810160,ELECTROPOMPE TYPE CA 200 / 55 P,PCM,605.700000,1346.000000
1020027,TUBE NR POMPE AMP 10,PRPVPE,42.000000,70.000000
1020028,TUBE NBR POUR POMPE AMP 10,PRPVPE,61.800000,103.000000
1020030,TUBE EPDM AMP10,PRPVPE,50.400000,84.000000
1020032,TUBE NR ALIMENTAIRE POMPE AMP10,PRPVPE,47.200000,78.660000
1020033,TUBE HYPALON POMPE AMP10,PRPVPE,110.320000,184.000000
1020102,ROULEMENT A BILLES,PRPVPE,1.020000,1.700000
1020104,ARBRE PORTE ROULEMENT,PRPVPE,4.740000,8.900000
1020106,SUPPORT ROULEAU AMP10,PRPVPE,5.040000,13.200000
1020109,ROULEAUX DIAM. 35,PRPVPE,6.900000,11.500000
10206,"""CORPS DE BOITE A CLAPET 1/2""""""",PRPDSMAG,12.650000,23.000000
102200070,POMPE CENTRIFUGE Type SHE 32-200 / 40,PCM,621.310000,1381.000000
102200190,POMPE CENTRIFUGE Type SHE 40-160 / 40,PCM,619.200000,1376.000000
102200460,POMPE CENTRIFUGE Type SHE 65 - 160 / 110,PCM,1350.450000,3001.000000
102220180,ELECTROPOMPE TYPE FHE 40 - 160 / 30,PCM,506.700000,1126.000000
102220220,POMPE CENTRIFUGE Type FHE 40-200 / 75,PCM,861.750000,1915.000000
102220340,ELECTROPOMPE TYPE FHE 50 - 200 / 110,PCM,1272.600000,2828.000000
102220840,POMPE CENTRIFUGE FHS 40-200 / 75,PCM,966.880000,2149.000000
102540241,POMPE MULTICELLULAIRE SV 224 F 30 T,PCM,725.290000,1612.000000
102541094,POMPE MULTICELLULAIRE SV 809 N 40 P,PCM,1274.400000,2832.000000
102541141,POMPE MULTICELLULAIRE TYPE SV 814 F 75 T,PCM,1393.650000,3097.000000
102541371,POMPE MULTICELLULAIRE SSV1607F75T,PCM,1255.180000,2682.000000
1025U06R08,TUBE POLYURETHANE,VAD,16.000000,0.000000
102611680,POMPE CENTRIFUGE CO 500 / 30 K,PCM,625.050000,1389.000000
10273,CORPS DE B. A C. PVC REFOULEMENT OU CREPINE TUYAU 9X12,PRPDSMAG,19.250000,35.000000
10299,ECROU DE CORPS 3/8,PRPDSMAG,6.050000,11.000000
1030027,TUBE NR POMPE AMP 13,PRPVPE,48.600000,81.000000
10313,CORPS DOSEUR 95T,PRPDSMAG,0.000000,0.000000
10322,LEST CERAMIQUE LMI / GA / GM - D.20 X 38 - LG 80 MM,ACPDSMAG,6.500000,13.000000
10338,BILLE CERAMIQUE 9.52,PRPDSMAG,5.500000,11.000000
10338-70,SACHET DE 70 BILLES CERAMIQUE 9.52,PRPDSMAG,0.000000,0.000000
10339,RESSORT REVETU PVDF - OBSOLETE REMPLACE PAR 37341,PRPDSMAG,0.000000,0.000000
10340,VIS FIXATION DOSEUR,PRPDSMAG,4.500000,9.000000
10340-30M,COURONNE 30M PE 230 NAT. RETOUR AU BAC 6.35 x 9.52,VAD,0.000000,0.000000
10342-6M,COURONNE 6M PE NAT. RETOUR AU BAC 6.35x9.52,VAD,19.800000,36.000000
1040023,TUBE NR POMPE RBT-32,PRPVPE,141.930000,284.000000
1040108,TUBE NR POMPE RBT-32B,PRPVPE,159.000000,265.000000
1040114,ARBRE DE ROTOR POMPE RBT,PRPVPE,101.160000,168.600000
10407,SIEGE PTFE .375,PRPDSMAG,7.700000,14.000000
10411,ECROU BOITE A CLAPET,PRPDSMAG,6.500000,13.000000
10422,RONDELLE CLIPS,PRPDSMAG,4.000000,8.000000
10444,BILLE 9.52 PTFE,PRPDSMAG,9.900000,18.000000
10461,KIT DE FIXATION POMPE LMI,ACPDSMAG,18.000000,36.000000
10462,BAGUE,PRPDSMAG,0.000000,0.000000
1050027,TUBE NORPRENE POMPE AMP 19,PRPVPE,70.200000,117.000000
10501,CANNE D'INJECTION LE91D-91DS-91S,PRPDSMAG,0.000000,0.000000
10563,B.A.C. REFT. LE-26,PRPDSMAG,50.050000,91.000000
10564,B.A.C. ASP. LE-26/26S,PRPDSMAG,51.150000,93.000000
10569,DOSEUR COMPLET LE-20,PRPDSMAG,0.000000,0.000000
10582,CAPOT TRANSPARENT LMI A H,ACPDSMAG,0.000000,0.000000
10583,"CAPOT TRANSPARENT POUR SERIE B, C",ACPDSMAG,0.000000,0.000000
10598,VIS INOX POMPE LMI,PRPDSMAG,7.150000,13.000000
1060009,AXE DE ROULEAU POUR FMP40,PRPVPE,9.300000,17.500000
1060011,ROULEAU NU FMP40,PRPVPE,22.500000,42.500000
1060014,CAPOT FRONTAL TRANSPARENT FMP40,PRPVPE,33.350000,67.000000
1060015,FLASQUE DE BRIDAGE FMP40,PRPVPE,54.000000,90.000000
1060018,TUBE NR POMPE FMP-40,PRPVPE,213.000000,355.000000
1060020,TUBE NBR POUR POMPE FMP-40,PRPVPE,194.400000,324.000000
1060022,TUBE EPDM POUR POMPE FMP-40,PRPVPE,232.200000,387.000000
1060030,ROULEMENT A BILLE DE ROULEAU POUR FMP40,PRPVPE,2.580000,4.950000
1060033,JOINT DE ROULEMENT DE ROULEAU POUR FMP40,PRPVPE,0.960000,1.800000
1060039,"CONNECTION PP 1""1/2 BSP",PRPVPE,110.740000,165.000000
1060041,"CONNEXION PVDF 1""1/2 BSP POUR POMPE FMP40",PRPVPE,167.600000,240.000000
1060048,TUBE HYPALON POUR POMPE FMP40,PRPVPE,496.800000,828.000000
106110160,HYDROSPHERE 24 LITRES - 5 BAR,PCM,24.360000,55.000000
10627,VARISTOR POMPE LMI P1,PRPDSMAG,0.000000,0.000000
10659,BILLE D9.52 INOX 316,PRPDSMAG,0.000000,0.000000
10681-3,CORPS DE DOSEUR 3.0 PP HAUTE VISCOSITE,PRPDSMAG,136.950000,249.000000
106CLAI019,TUYAU SOUPLE PVC RENFORCE DN 19 x 27 (Prix au ML),VAD,3.470000,5.300000
106CLAI025,TUYAU SOUPLE PVC RENFORCE 25x34 (Prix au ML),VAD,4.470000,10.480000
1070022,TUBE EPDM POUR POMPE FMP-30,PRPVPE,145.800000,243.000000
107300080,POMPE CENTRIFUGE TYPE 2HM7T 20-70l/mn 52.5-25mCE TRI 230/400V 0.75KW,PCM,253.190000,562.000000
107320040,ELECTROPOMPE AUTO-AMORCANTE MODELE BGM11,PCM,243.450000,541.000000
107320100,ELECTROPOMPE AUTO-AMORCANTE MODELE BG11,PCM,205.650000,457.000000
107320230,ELECTROPOMPE CENTRIFUGE AUTO-AMORCANTE BGM 9 GARDEN,PCM,209.250000,465.000000
107330130,POMPE CENTRIFUGE CEA 70/3  230/400V 3PH 370W 30-80 l/min 20-12.8mCE,PCM,247.050000,549.000000
107330140XAA,POMPE CENTRIFUGE CEA 70 / 5 - V  370W 230/400V 3PH 50HZ,PCM,256.950000,571.000000
107330180,POMPE CENTRIFUGE TYPE CEA 210 / 2 A,PCM,265.500000,590.000000
107340080,POMPE CENTRIFUGE TYPE CA 70/33,PCM,325.800000,724.000000
107340090,POMPE CENTRIFUGE TYPE CA 70/34,PCM,296.550000,659.000000
107340110,POMPE CENTRIFUGE TYPE CA 120 / 33,PCM,352.350000,783.000000
107350090XN,ELECTROPOMPE CENTRIFUGE MODELE CO 350/03K/A,PCM,522.290000,1116.000000
107390071,ELECTROPOMPE TYPE SV 207 F 11 T / A,PCM,453.150000,1007.000000
107390140,POMPE MULTICELLULAIRE TYPE SV 214 T 22 T,PCM,621.000000,1380.000000
107390161,ELECTROPOMPE SV 216 F 22 T,PCM,696.150000,1547.000000
107391034,ELECTROPOMPE MULTICELLULAIRE VERTICALE TYPE SV 803 N 15 T / A,PCM,691.650000,1537.000000
10741,"""LANCE D'INJECTION AVEC VANNE 1""""NPT - Vanne bronze / Canne PP""",ACPDSMAG,0.000000,0.000000
107410050,ELECTROPOMPE TYPE SHE 32 - 160 / 22,PCM,703.350000,1563.000000
