CT_Intitule,CT_Adresse,CT_Complement,CT_CodePostal,CT_Ville,CT_Pays,CT_Ape,CT_Identifiant,CT_Siret,CT_Telephone
TECOFI FRANCE,ZAC EverEst Parc,8 rue Joseph Nicéphore Nièpce,69747,GENAS CEDEX,France,,,,04 72 79 05 79
F.P.Z. spa,16/18 VIA FRATELLI CERVI,,20049,CONCOREZZO MI (ITALIE),France,,,,
MOUVEX,2 RUE DES CAILLOTTES,,89000,AUXERRE,France,,,,03 86 49 86 30
GERARDOT J.F.,16 RUE D'EPINAL,,88700,VOMECOURT,France,,,,03 29 65 34 63
SPECK POMPES,ZONE INDUSTRIELLE BP227,4 RUE DE L'ENERGIE,67727,HOERDT CEDEX,France,,,,03 88 68 26 60
EMICA BOMBAS S.L,B95893111,POLIGONO EL CAMPILLO A 25-29,48500,GALLARTA BIZKAIA,Espagne,,ESB95893111,,
TRESOR PUBLIC,,,,,France,,,,
SOGIT,BP 54,LA CROISETTE,54330,VEZELISE,France,,,,03 83 26 92 88
VEOLIA,,,,,France,,,,
APUMAS,Avenue Henri Piedboeuf,4-6,4031,ANGLEUR,Belgique,,BE 0864617022,,0032 4 247 46 11
H+VALVES,"557 IMPASSE ""LES SAILLANTS""",,69380,CHESSY LES MINES,France,,,,04 72 54 40 11
EMEC FRANCE,33 RUE PIERRE BRAY,Z.A. LA TUILERIE,60290,NEUILLY-SOUS-CLERMONT,France,,,,09 51 86 15 22
SCIE MAT EMBALLAGE,4 RUE DE LA SANCE,,54600,VILLERS LES NANCY,France,,,,03 83 27 87 22
ECOLAB,8 RUE ROUGET DE LISLE,,92442,ISSY LES MOULINEAUX,France,,,,01 40 93 92 21
HYDROFLUIDE,4 RUE LOUIS BRAILLE,,26230,VALAURIE,France,,,,04 75 46 19 49
FLOWSERVE SIHI (France) S.A.S.,Le Gershwin,1 rue Arnold Schoenberg,78280,GUYANCOURT,France,,,77570814200283," 01 34 82 39 00"
PCM EUROPE SAS,6 BOULEVARD BINEAU,,"92300 ",LEVALLOIS PERRET,France,,,,01 77 68 31 00
MECMAS,ZONE D'ACTIVITES DU MOULIN,551 ROUTE DEPARTEMENTALE 60,88600,LA CHAPELLE DEVANT BRUYERES,France,,,,03 29 58 59 55
OREXAD BRAMMER,ZA DU PRE DROUE,8 RUE DE BASSAGARD,88150,CHAVELOT,France,,,,03 29 29 15 70
VALIFLUID,"1 Chemin de Clésure ",,54270,ESSEY-LES-NANCY,France,,,,03 83 20 19 48
SERMES S.A.,14 RUE DES FRERES EBERTS,,67100,STRASBOURG,France,,,,03 88 40 73 25
BAMO MESURES,22 RUE DE LA VOIE DES BANS,ZI DE LA GARE,95100,ARGENTEUIL,France,,,,01 30 25 83 20
SYDEX SRL,"VIA BADEN POWELL, 24",,36045,"LONIGO, VICENZA ITALY",Italie,,IT03075420244,,0039 04 44 43 25 88
LUMOX,15 RUE ANTOINE BALARD,BP 77504 SAINT OUEN L'AUMONE,95040,"CERGY CEDEX ",France,,,,01 34 64 46 29
XYLEM,SITE ALSACE LORRAINE,BP 40425 FEGERSHEIM,67412,ILLKIRCH CEDEX,France,,,,09 71 10 11 11
ADF SYSTEMES,82 AVENUE RAYMON ARON,,91300,MASSY,France,,,,
ADG SIGNALISATION,28 RUE DU DOCTEUR ZIVRE,,54340,POMPEY,France,,,,03 83 24 34 50
ATELIER ELECTRIQUE NORMAND,ROUTE DU BOIS RICARD,,76770,MALAUNAY,France,,,,02 35 33 86 11
AIR ET EAU SYSTEMES,94 RUE DE L'EGLISE,,54710,LUDRES,France,,,,03 83 26 33 33
ANFRAY,RUE ANDRE VOISIN,,76200,DIEPPE,France,,,,"02 32 14 52 13 "
BECOT SAS,Z.I. DU CHENE VERT,,49124,ST BARTHELEMY D'ANJOU,France,,,,02 41 43 60 20
APAVE ALSACIENNE,BP 1055,,54522,LAXOU CEDEX,France,,,,03 83 98 38 50
APS-INTERNATIONAL,PARC D'ACTIVITE,SECTEUR PETITE MER - BP 19,59264,ONNAING,France,,,,03 27 27 75 75
ASTRO S.R.L.,"VIA FORNACE, 4",,24050,MORNICO AL SERIO,Italie,,IT01245600166,,
"STÜBBE ",HOLLWIESER Str. 5,,D-32606,VLOTHO - GERMANY,Allemagne,,DE125354336,,01 30 75 10 45
AT2I,3 AVENUE MARGUERITE,,95220,HERBLAY,France,,,,0950342663
ATAZ,16 AVENUE DE L'EUROPE,,33290,BLANQUEFORT,France,,,,0556956863
AUTOCLAVE FRANCE,17 RUE PARMENTIER,B.P. 60032,60292,RANTIGNY CEDEX,France,,,,0344691110
LES AUTOMATISMES APPLIQUES,BAT. 9,PARC DE LA SAINTE VICTOIRE,13590,MEYREUIL,France,,,,04 42 12 57 57
BAILLY M,,,,,France,,,,06 78 73 64 01
BENE INOX,11 CHEMIN DE LA PIERRE BLANCHE,,69800,SAINT-PRIEST,France,,,,04 72 79 05 17
SB USINAGE,365 GRANDE RUE,,88170,BIECOURT,France,,,,0329376186
BLE PUMPS,"CHURCH STREET, ECKINGTON",SHEFFIELD,S21 4BH,ENGLAND,Allemagne,,,,00441246436632
BNP PARIBAS,,,,,France,,,,
BOCQUET N,4 CONTOUR DU MARAIS,,59161,RAMILLIES,France,,,,03 27 83 54 72
BÖRGER,9 RUE DES PRES,,67670,WITTERSHEIM,France,,,,0388515468
BOYSER,C/. MIQUEL MARTI I POL S/N,POL. IND. PLA DE LA COSTA,E-08182,SANT FELIU DE CODINES,Espagne,,ESB60942844,,0034938447778
BUSAK+SHAMBAN,38 RUE JEAN MERMOZ,BP 106,78602,MAISONS-LAFFITTE CEDEX,France,,,,0130865600
CAPEST INDUSTRIE,116 - 118 RUE CHARLES III,B.P. 374,54007,NANCY Cedex,France,,,,0383328002
CAT PUMPS INTERNATIONAL NV,HEIVELDEKENS 6 A,,B-2550,KONTICH - Belgium,Belgique,,,,0032 3 4507150
CIMMO 88,71 RUE DU CIMETIERE,,88500,MIRECOURT,France,,,,
CIR,BP 613,,59506,DOUAI CEDEX,France,,,,
COLAS ET GIRE,PARC D'ACTIVITE DES GRANDS CHENES,7 RUE DU CHAPOLY,69290,SAINT GENIS LES OLLIERES,France,,,,0478835534
CREACTIV,68 RUE DES GRAVIERS,,78200,MAGNAVILLE,France,,,,01 34 77 14 52
CTB-CHOFFEL-ELECTRONIQUE,29 RUE DU RANG DE VESEAUX,MOULIN SAINT NABORD BP 58,"88202 ",REMIREMONT,France,,,,0329624070
DEFAMETAL,649 RUE PIERRE ET MARIE CURIE,Z.I. NANCY LUDRES - BP 76,54714,LUDRES CEDEX,France,,,,03 83 25 24 44
DELLMECO LTD,5 JUPITER HOUSE REG. OFFICE,CALLEVA PARK - ALDERMASTON,RG7 8NN,UNITED KINGDOM,,,,,0044 207 788 7622
DIFFUSION TECHNIQUE DITECH,ZI NORD,,01400,CHATILLON SUR CHALARONNE,France,,,,0474554320
EBARA,122 RUE PASTEUR,,69780,"TOUSSIEU ",France,,,,04 72 76 94 82
EFRAPO - Chavelot,26 RUE D'EPINAL,ZI PRE DOUE,88150,CHAVELOT EPINAL,France,,,,0329811125
EFRAPO - Heillecourt,14 RUE DES ERABLES,BP 70024,54181,HEILLECOURT CEDEX,France,,,,
GRIFFON EST ELECTRIQUE,ZAC BOIS DU TAMBOUR,BP 48,54840,GONDREVILLE,France,,,,03 83 65 55 60
ELECTROTEC,96 TER RUE DU GRAND CHEMIN,,59100,ROUBAIX,France,,,,0320263361
EM-TECHNIQUE SARL,23-24 RUE NICOLAS COPERNIC,ZAC LES PORTES DE L'OISE,60230,CHAMBLY,France,,,,01 39 37 22 90
ENDRESS HAUSER,3 RUE DU RHIN,BP 150,68331,HUNINGUE Cédex,France,,,,03 89 69 67 68
ER INGENIERIE SAS,18 RUE BLAISE PASCAL,SITE TECHNOLOGIQUE SAINT-JACQUES I,54320,"MAXEVILLE ",France,,,,0383982323
SOCIETE ERIDIS,9 RUE DU GUE,,92500,RUEIL MALMAISON,France,,,,0134774281
ESPACE INOX,100 RUE DU RUISSEAU D'URPONT,,54710,FLEVILLE,France,,,,0383569900
EUROPART'S,24 RUE DE LA SAVONNERIE,BP 9,68460,LUTTERBACH,France,,,,0389625462
EXIM POMPES,PARC ELYSEE,37 RUE MICHEL ANGE,91080,COURCOURONNES,France,,,,01 60 76 16 95
FLUX FRANCE,1 RUE AMBROISE CROIZAT,,77183,"CROISSY BEAUBOURG ",France,,,,01.64.15.20.00
HYD&AU FLUIDE,"DIVISION 2 ",1 RUE DES VERRIERS,57070,METZ ACTIPOLE,France,,,,0390227808
FRANCOMME E,16 RUE ANATOLE FRANCE,,54500,VANDOEUVRE-LES-NANCY,France,,,,09 51 14 43 23
GALASSI & ORTOLANI Srl,VIA GHIRLANDAIO 2/4,,20096,PIOLTELLO (MILANO),Italie,,"IT00732780150 ",,00 390 292 103 801
GAN,,,,,France,,,,
GARLOCK FRANCE,90 RUE DE LA ROCHE DU GEAI,,42029,SAINT-ETIENNE CEDEX 1,France,,,,0477435191
GEDIMAT,,,,,France,,,,
GLYNWED,Z.I. ROUTE DE BEZIERS,,34140,MEZE,France,,,,04 67 51 63 38
GOOGLE,,,,,France,,,,
DACHSER,AVENUE DE L'EUROPE,,85130,LA VERRIE FRANCE,France,,,,
GRANDBLAISE LEROY,ZAC DE LA VOIVRE,,88000,EPINAL,France,,,,"03 29 81 32 32 "
GROUPAMA,,,,,France,,,,
HASKEL EUROPE LIMITED,NORTH HYLTON ROAD,,SR5 3JD,SUNDERLAND,Angleterre,,,,0320046600
HERVIEU S.A.S,6 AVENUE DES PETITES HAIES,Z.I.,94015,CRETEIL CEDEX,France,,,,0145179100
"HIDRACAR, S.A.",POL. IND. BUFALVENT,"C/RAMON FARGUELL,71",08243,MANRESA (BARCELONA),Espagne,,ESA08356032,,0034938330252
ISOLANT DE L'EST,28 AVENUE DES ERABLES,BP 46,54182,HEILLECOURT CEDEX,France,,,,0383531818
IGOL INDUSTRIE,72 RUE ALSACE LORRAINE,BP 2,58028,NEVERS CEDEX,France,,,,03 86 59 78 81
INOTEC,WALDSHUTER STRABE 25,,D-79761,WALDSHUT-TIENGEN,Allemagne,,,,00 49 7741 6805-0
HYLICO,POLE D'ACTIVITES DES LONGS CHAMPS,RUE JEHAN BODEL,62217,BEAURAINS,France,,,,03 21 24 77 77
ITT FLYGT - Reims,16 ROUTE DE CHAMPIGNY,,51430,TINQUEUX,France,,,,03 26 84 33 24
J2L IMMO,,,,,France,,,,
JETLY,28 RUE PROVENCE,,38297,SAINT QUENTION FALLAVIER,France,4669B,,33823622700025,04 74 94 18 24
JLP2L,,,,,France,,,,
JLS INTERNATIONAL GERMANY,SCHLAGKAMP 6,,46509,XANTEN - GERMANY,Allemagne,,,,+49 (0) 2801 / 984314
SPX FLOW TECHNOLOGY SAS,6 RUE JACQUARD,,27006,EVREUX CEDEX,France,,,,0139205000
JUMO REGULATION S.A.S.,7 RUE DES DRAPIERS,B.P. 45200 ACTIPOLE BORNY,57075,METZ CEDEX 3,France,,,,0387375300
ARVAL,,,,,France,,,,
KSB SAS,RUE DE LA GARE,,76250,DEVILLE LES ROUEN,France,,FR20569801897,56980189700632,02 32 82 83 26
KUBLER FRANCE SA - VOIR EFRAPO,10 AVENUE D'ALSACE,BP 54,68702,CERNAY CEDEX,France,,,,0389754173
LANDIA,11 ALLEE DE LA COUDRAIE,,29000,QUIMPER,France,,,,02 98 55 93 93
SFR,,,,,France,,,,
LEFEVRE JL,19 RUE PASTEUR,,51430,TINQUEUX,France,,,,03 26 97 84 65
LAUDINOT P,,,,,France,,,,"06 85 70 21 84 "
LEROY SOMER,18 ALLEE DE LA FORET DE LA REINE,,54600,VILLERS LES NANCY,France,,,,03 83 44 04 33
LESER SARL,Z.A. DE PINET,IMPASSE DE CASTELVIEL,31180,ROUFFIAC-TOLOSAN,France,,,,05 62 18 56 73
LEVIEL GROUPE TPA SAS,54 BIS AVENUE SARAH BERNHARDT,BP 115,51433,TINQUEUX CEDEX,France,,,,03 26 50 89 89
LIVERANI S.r.l,"VIA DE' BROZZI, 94",,48022,LUGO (RA)  ITALY,Italie,,IT00375260395,,39 0545 22379
LORAPLAST,7 RUE DES MAILLYS,ZAC DE PULNOY - BP 29,54271,ESSEY-LES-NANCY,France,,,,03 83 33 19 99
LOWARA,,BP 7311,37073,TOURS CEDEX 2,France,,,,
LR,27 RUE CUVIER,,93107,MONTREUIL,France,,,,0149207000
WATSON MARLOW PUMPS SAS,9 ROUTE DE GALLUIS,ZI LES CROIX,78940,LA QUEUE LEZ YVELINES,France,,,,01 34 87 12 12
MD INDUSTRIE,62 RUE VOLANT,,92000,NANTERRE,France,,,,01 47 21 76 62
MDM,ZA LEONARD DE VINCI,21 AVENUE GRAHAM BELL,77607,MARNE LA VALLEE CEDEX 03,France,,,,0160940360
MECANELEC SARL,13 RUE SAINT HONORE,,78000,VERSAILLES,France,,,,"01 30 99 74 46 "
TECHNI CONTACT,,,,,France,,,,
MICHAUD ET CHAILLY,95 IMPASSE HENRI BECQUEREL,ZONE INDUSTRIELLE - BP 70024,54712,LUDRES CEDEX,France,,,,0383955050
MILTON ROY EUROPE,BP 94-77212 AVON CEDEX,10 RUE DU BOIS GASSEAU,77210,SAMOREAU,France,,,,01 60 74 95 20
N3M PLASTURGIES,RUE DES CELTES,,68510,SIERENTZ,France,,,,0389268719
O-TELECOM,6 ALLEE PELLETER DOISY,,54603,VILLERS LES NANCY CEDEX,France,,,,
PARFIP,,,,,France,,,,
GULDAGIL,4 RUE ROBERT SCHUMAN,BP 25,68171,RIXHEIM CEDEX,France,,,,
PLASTIMEUSE,17 QUAI DU MOULIN,,08600,GIVET,France,,,,03 24 42 73 28
PLASTICHAMP,ALLEE MAXENU,ZA LES BORDETS,51530,PIERRY,France,,,,03 26 54 59 87
POMPES POLLARD,BP746,,83030,TOULON Cedex 09,France,,,,04 94 10 19 90
POMPES SERVICES 59,160 RUE DU 8 MAI 1945,,59113,SECLIN,France,,,,0328160420
POMPES ET PROCESS,Z.I. LES GRANDES RAIES,415 RUE HENRI MOISSAN,54710,LUDRES,France,,,,0383545413
PRESSOL SAS,3 RUE WESTRICH,Z.I. NORD,67604,SELESTAT Cedex,France,,,,0388580046
PROCESS ENGINEERING,6 ROUTE D'EPINAL,,88150,CHAVELOT,France,,,,0329291029
PUM PLASTIQUE S.A.,ZI DE CHAVELOT,RUE DU PRE DROUE,88150,CHAVELOT,France,,,,03 29 34 41 49
REDWOOD INDUSTRIES,"ZA de Coat Yen, Bâtiment G1",1a rue Henry Dupuis de Lome,22140,BEGARD,France,,,,01 55 96 19 91
RIVAT P,17 BIS RUE DE LA LIBERATION,,88600,BRUYERES,France,,,,
ROBIPLAST sarl,PARC D'ACTIVITES DU STADE,5 RUE ETTORE & JEAN BUGATTI,67870,BISCHOFFSHEIM,France,,,,03 88 50 42 54
WILO FRANCE SAS,Espace Lumière Bat.6,53 boulevard de la république,78403,CHATOU CEDEX,France,,,,02 43 59 54 97
SALVI,48 RUE DU CUIVRE,BP 72,77543,SAVIGNY LE TEMPLE Cedex,France,,,,01 64 41 99 75
SEW USOCOME,48 A 54 ROUTE DE SOUFFLENHEIM,BP 20185,67506,HAGUENAU CEDEX,France,,,,0388736700
SWAGELOK PARIS,IMMEUBLE LE NATH,24 AVENUE DE LA BALTIQUE,91978,COURTABOEUF CEDEX,France,,,,01 69 18 96 00
TAPFLO FRANCE,100 rue des Métiers,Bâtiment Actineos -Lot 7,78200,BUCHELAY,France,,,,01 88 78 82 40
TAP,91 AVENUE DE SAINTE APOLLINE,ZA DE SAINTE APOLLINE,78370,PLAISIR,France,,,,0130566388
TECHNIQUES DES FLUIDES,7 RUE DE LA FOSSE AUX LOUPS,,95100,ARGENTEUIL,France,,,,01 34 11 13 73
TECHNIQUES INDUSTRIES,ZA LA COUTURE,,80260,POULAINVILLE,France,,,,
TELSTAR,26 AVENUE ROGER HENNEQUIN,,78190,TRAPPES,France,,,,0130165000
ALICE,,,,,France,,,,
TMR,PARC D' ACTIVITES DES ONDELLES,,76240,BELBEUF,France,,,,0235807360
FEDEX EXPRESS FR SAS,TSA 91647,"CS 17237 ",91764,PALAISEAU,France,,FR22973505357,,
SA VAUDREY,1 BIS BOULEVARD VAL DE VESLE PROLON,,51500,SAINT LEONARD,France,,,,03 26 02 31 41
VERDER,PARC DES BELLEVUES,RUE DU GROS CHENE,95610,ERAGNY SUR OISE,France,,FR 05 326 966 272,,01 34 64 31 11
VIKING,,,,,France,,,,
"WILO France SAS ",9 AVENUE GEORGES MELIES,ZAC LA CROIX BONNET,78390,BOIS D'ARCY,France,515J,FR 04 689 803 922,689803922,0130050930
MILTON ROY EUROPE,10 GRANDE RUE 27360 PONT ST PIERRE,BP 8313,27108,VAL DE REUIL CEDEX,France,,,,
MILTON ROY EUROPE PR,10 GRANDE RUE,,27360,PONT-SAINT-PIERRE,France,,,,
MESA,"BATIMENT D1 ",37 RUE HELENE MULLER,94320,THIAIS,France,,,,"01 77 01 84 40 "
KOBOLD INSTRUMENTATION,P.A. DES BETHUNES,16 AVENUE DU FIEF,95310,SAINT OUEN L'AUMONE,France,,,,01 34 21 91 15
INNVENDO,ZA MARLENE DREISPITZ,3 RUE DU COMMERCE,67700,MONSWILLER,France,,,,03 88 02 50 60
SULZER POMPES FRANCE,1 RUE DE L'INNOVATION,MANTES INNOVAPARC,78200,BUCHELAY,France,,,,04 72 31 93 04
NORD REDUCTEURS,17 AVENUE GEORGES CLEMENCEAU,,93421,VILLEPINTE CEDEX,France,,,,08 20 00 04 09
EUREKA,ZA HELLIEULE 2,AVENUE DE L'EGALITE BP 82,88103,SAINT DIE DES VOSGES CEDEX,France,,,,03 29 56 55 55
ORANGE BS,,,,,France,,,,
SERGEANT EST,49 RUE MARCEL BROT,,54003,NANCY CEDEX,France,,,,03 83 35 07 10
LIDERING,INOPOLIS,204 ROUTE DE VOURLES,69230,SAINT GENIS LAVAL,France,,,,04 72 67 02 67
JACQUEMIN,ZONE INOVA 3000,BP 50044,88152,THAON LES VOSGES,France,,,,
REXEL ST DIE,2 IMPASSE DU PREBLINVIL,,88100,ST DIE DES VOSGES,France,,,,03 29 55 43 50
ATELIER LORRAIN,836 RUE DE METZ,,54390,FROUARD,France,,,,
MARCHAL,11 ALLEE DES RAPAILLES,ZAC DE LE ROCHE,88000,EPINAL,France,,,,03 29 81 44 88
CIRCOR IMO ALLWEILER,14 RUE DE HOLLANDE,,37100,TOURS,France,,,,02 47 40 23 23
PROMOTECH,6 ALLEE PELLETIER DOISY,,54606,VILLERS LES NANCY CEDEX,France,,,,03 83 50 44 44
HOMMES ET COMPETENCES,133 LOT LE CLOS DES CHENES,,88470,SAINT MICHEL SUR MEURTHE,France,,,,
POMPES JAPY,PARC D'ACTIVITES DU MOULIN,BP 15,25490,FESCHES LE CHATEL,France,,,,03 81 96 10 74
LE RESERVOIR MASSAL,CHEMIN DES SEPT PONTS,BP 10026,34301,AGDE CDEX,France,,,,04 67 94 79 11
CALPEDA,19 RUE DE LA COMMUNAUTE,BP3,44140,LE BIGNON,France,,,,02 40 03 13 30
SIVOM MIRECOURT,,,,,France,,,,
MELCION,,,,,France,,,,
MMA IARD,,,,,France,,,,
JPG,,,,,France,,,,
DPD,14 RUE ALBERT ERNSTEIN,PARC D'ACT JACQUES,54320,MAXEVILLE,France,,,,03 83 95 83 95
WILLY LEISSNER,AGENCE D'EPINAL,20 RUE LEO VALENTIN,88000,EPINAL,,,,,03 29 68 37 13
AQUACONTROL,RUE HENRI BECQUEREL - BAT B3,"ZAC ""LES PORTES DE L'OISE""",60230,CHAMBLY,France,,,,01 34 70 02 19
EVEN PRO,ZA LE MAYNE,,47440,CASSENEUIL,France,,,,05 53 49 59 00
ROTOPLAST,5 RUE DU STADE,,02800,BEAUTOR,France,,,,03 23 57 54 50
BURNEL,,,,,France,,,,
CALBERSON,8 RUE DE LA MOUSSIERE,ZA LES MOUSSIERES,54210,VILLE EN VERMOIS,France,,,,03 83 15 65 65
BOHL PLAST ENVIRONNEMENT,2 RUE DE LA SAUGE,ZAI LES PINS,68700,CERNAY,France,,,,03 89 35 18 32
CTRI,"ZA DU MARTELBERG ",12 RUE DES RUSTAUDS CS 40089,67700,MONSWILLER,France,,,,03 88 01 80 00
SIEBEC,8 RUE GUY MOCQUET,,38602,FONTAINE,France,,,,04 76 26 12 09
SAGE,LE COLISSEE II,10 RUE FRUCTIDOR,75834,PARIS CEDEX 17,France,,,,
PRESTIGE AUTOMOBILE SAS,ZONE COMMERCIALE DU PRE DOUE,,88150,CHAVELOT,France,,,,
HONORE,Z.A. – BP N° 2,,88390,LES FORGES,France,,,,03 29 64 10 11
POMPES GROSCLAUDE,PARC DU CHENE,29 RUE DU 35EME REGIMENT D'AVIATION,69500,BRON,France,,,,04 72 37 94 00
COGEFLU,309 RUE DU PUECH,,30310,VERGEZE,France,,,,04 66 06 06 06
FRACCAROLO POMPE,VIA ISONZO 30,,21040,GERENZANO,Italie,,,,0039 0331 577 710
AXFLOW,87 RUE DES POIRIERS,STE APOLLINE,78372,PLAISIR CEDEX,France,,,,01 30 68 41 41
GMI,4 RUE JEAN BAPTISTE MARCET,,44570,TRIGNAC,France,,,,02 51 10 18 18
PHA SAS,14 Z.A. LES PIBOULES,,84300,LES TAILLADES,France,,,,04 90 78 19 99
ABEL,ABEL-TWIETE 1,,D-21514,BUCHEN,Allemagne,,DE305588211,,0049 41 55 81 84 82
DP PUMPS,POB 28,,2400,ALPHEN AAN DEN RIJN,Pays-Bas,,,,
SABE,LA PERAUDERIE,BP 5,85140,CHAUCHE,France,,,,02 51 41 83 13
IWAKI FRANCE,9 RUE JOLY DE BAMMEVILLE,PARC DE LA FONTAINE DE JOUVENCE,91460,MARCOUSSIS,France,,,,01 69 63 33 70
METAUX MOTEURS,ZI LES PRADEAUX,AVENUE SALVADORE ALLENDE,13850,GREASQUE,France,,,,04 42 69 92 56
R+B FILTER GmbH,POSTFACH 11 06,,74241,LANGENBRETTACH,Allemagne,,,,
ID INSERT DEAL S.r.l.,"STRADA DEI BOSCHI, 40",,20058,VILLASANTA (MI),Italie,,,,"+39 (0)39 302 035 "
DEBEM SRL,VIA DEL BOSCO 41,,21052,BUSTO ARSIZIO,Italie,,,,39-0331-074034
GOLICZ Jérôme,14 GRANDE RUE,,57155,MARLY,France,,,,06 71 42 22 63
FRISTAM,ZAC DU PRIEURE OUEST,15 AVENUE CHRISTIAN DOPPLER,77700,BAILLY ROMAINVILLIERS,France,,,,01 60 42 86 10
TC FRET EXPRESS,12 RUE DE L'EGALITE,,88000,EPINAL,France,,,,
XAVIER LEJAL,96 RUE DES JUMEAUX,,88470,SAINT MICHEL SUR MEURTHE,France,,,,"03 29 58 38 02 "
SNGM,RUE ALFRED KRUG,,54000,NANCY,,,,,03 83 32 16 05
FAC LOGISTIQUE,RUE DE L'ANTENNE,CLOS ST YON LES ESSARTS,76530,GRAND COURONNE,France,,,,
CGED,58 RUE D'EPINAL,,88190,GOLBEY,France,,,,03 29 34 42 41
DUFF NORTON,45 ROUTE NATIONALE,,02310,ROMENY SUR MARNE,,,,,03 23 70 70 00
ETATRON,16 RUE DU COMPAS,B 10,95310,SAINT OUEN L'AUMONE,France,,,,01 34 48 77 15
SR2I,ALLEE 6 ZI INOVA 3000,BP 10076,88152,THAON LES VOSGES,France,,,,03 29 29 25 50
EVACEAU,4 IMPASSE DENIS PAPIN,,67400,ILLKIRCH,France,,,,03 88 55 35 00
JVC SAS,ZAC 13 RUE DU RUISSEAU,SAINT PIERRE,57245,PELTRE,France,,,,03 87 38 19 19
EBG,"ZI DE LA DOLLER ",8 RUE DU CHEMIN DE FER,68520,BURNHAUPT LE HAUT,France,,,,03 89 53 71 29
VIESSE POMPE S.R.L.,"VIA L. EINAUDI,36",,35030,SACCOLONGO (PADOVA),Italie,,,,0039 498015300
FINISH THOMPSON INC.,921 GREENGARDEN ROAD,,ERIE,PA  16501-1591 USA,Etats-Unis,,,,
TUTHILL BENELUX S.A.,AVENUE VESALE 30,,1300,WAVRE - BELGIQUE,Belgique,,,,0032 10 228334
CHARLATTE RESERVOIRS,17 RUE PAUL BERT,,89400,MIGENNES,France,,,,03 86 92 30 00
TSURUMI FRANCE S.A.S,CS 50106,,13615,VENNELLES CEDEX,France,,,38050736800039,
ARBO,LEEMDIJK 2B,,9422,CL SMILDE,Pays-Bas,,NL800862466B01,,0031 592 43 03 10
EATON TECHNOLOGIES GmbH,"AUF DER HEIDE 2,",,D-53947,NETTERSHEIM,Allemagne,,,,
ADM SOUDURES,,,,,,,,,
MIDLAND PUMP MANUFACTURING COMPAGNY,"SEELEYS ROAD, GREET",,B112LF,BIRMINGHAM,Angleterre,,,,00 44 12 17 73 88 62
EUROPE ENVIRONNEMENT,PARC D'ACTIVITES DU PAYS DE THANN,1 RUE DES PINS,68700,ASPACH LE HAUT,France,,,,03 89 37 41 41
AS FLUID,235 RUE CORPORAT,ZONE INDUSTRIELLE CENTR'ALP,"38430 ",MOIRANS,France,,,,04 76 35 81 00
SAMSON REGULATION S.A.,1 RUE DES ROMAINS,,68700,CERNAY,France,,,,03 88 55 79 30
