
code,hierarchie,region,francais,administration,capitale
GR-19,T.EUR.EUS.GR.GR-D.GR-19,Θεσπρωτίας,Thesprotie,districts régionaux,
GR-20,T.EUR.EUS.GR.GR-D.GR-20,Ιωαννίνων,Ioannina,districts régionaux,
GR-21,T.EUR.EUS.GR.GR-D.GR-21,Πρέβεζας,Préveza,districts régionaux,
GR-22,T.EUR.EUS.GR.GR-E.GR-21,Καρδίτσας,Karditsa,districts régionaux,
GR-23,T.EUR.EUS.GR.GR-E.GR-21,Λάρισας,Larissa,districts régionaux,
GR-24,T.EUR.EUS.GR.GR-E.GR-21,Μαγνησίας,Magnesie,districts régionaux,
GR-25,T.EUR.EUS.GR.GR-E.GR-21,Σποράδων,Sporade,districts régionaux,
GR-26,T.EUR.EUS.GR.GR-E.GR-21,Τρικάλων,Trikala,districts régionaux,
GR-27,T.EUR.EUS.GR.GR-F.GR-27,Ζακύνθου,Zakynthos,districts régionaux,
GR-28,T.EUR.EUS.GR.GR-F.GR-28,Κέρκυρας,Corfou,districts régionaux,
GR-29,T.EUR.EUS.GR.GR-F.GR-29,Κεφαλληνίας,Céphalonie,districts régionaux,
GR-30,T.EUR.EUS.GR.GR-F.GR-30,Ιθάκης,Ithaca,districts régionaux,
GR-31,T.EUR.EUS.GR.GR-F.GR-31,Λευκάδας,Leucade,districts régionaux,
GR-32,T.EUR.EUS.GR.GR-G.GR-32,Αιτωλίας – Ακαρνανίας,Étolie-Acarnanie,districts régionaux,
GR-33,T.EUR.EUS.GR.GR-G.GR-33,Αχαΐας,Achaïe,districts régionaux,
GR-34,T.EUR.EUS.GR.GR-G.GR-34,Ηλείας,Élide,districts régionaux,
GR-35,T.EUR.EUS.GR.GR-H.GR-35,Βοιωτίας,Béotie,districts régionaux,
GR-36,T.EUR.EUS.GR.GR-H.GR-36,Εύβοιας,Eubée,districts régionaux,
GR-37,T.EUR.EUS.GR.GR-H.GR-37,Ευρυτανίας,Eurytanie,districts régionaux,
GR-38,T.EUR.EUS.GR.GR-H.GR-38,Φθιώτιδας,Phthiotide,districts régionaux,
GR-39,T.EUR.EUS.GR.GR-H.GR-39,Φωκίδας,Phocide,districts régionaux,
GR-40,T.EUR.EUS.GR.GR-I.GR-40,Βορείου Τομέα Αθηνών,Secteur nord d'Athènes,districts régionaux,
GR-41,T.EUR.EUS.GR.GR-I.GR-41,Δυτικού Τομέα Αθηνών,Secteur occidental d'Athènes,districts régionaux,
GR-42,T.EUR.EUS.GR.GR-I.GR-42,Κεντρικού Τομέα Αθηνών,Secteur central d'Athènes,districts régionaux,
GR-43,T.EUR.EUS.GR.GR-I.GR-43,Νοτίου Τομέα Αθηνών,Secteur sud d'Athènes,districts régionaux,
GR-44,T.EUR.EUS.GR.GR-I.GR-44,Πειραιώς,Le Pirée,districts régionaux,
GR-45,T.EUR.EUS.GR.GR-I.GR-45,Νήσων,Îles de l'Attique,districts régionaux,
GR-46,T.EUR.EUS.GR.GR-I.GR-46,Ανατολικής Αττικής,Attique de l'Est,districts régionaux,
GR-47,T.EUR.EUS.GR.GR-I.GR-47,Δυτικής Αττικής,Attique de l'Ouest,districts régionaux,
GR-48,T.EUR.EUS.GR.GR-J.GR-48,Αργολίδας,Argolide,districts régionaux,
GR-49,T.EUR.EUS.GR.GR-J.GR-49,Αρκαδίας,Arcadie,districts régionaux,
GR-50,T.EUR.EUS.GR.GR-J.GR-50,Κορινθίας,Corinthie,districts régionaux,
GR-51,T.EUR.EUS.GR.GR-J.GR-51,Λακωνίας,Laconie,districts régionaux,
GR-52,T.EUR.EUS.GR.GR-J.GR-52,Μεσσηνίας,Messénie,districts régionaux,
GR-53,T.EUR.EUS.GR.GR-K.GR-53,Λέσβου,Lesbos,districts régionaux,
GR-54,T.EUR.EUS.GR.GR-K.GR-54,Ικαρίας,Ikarias,districts régionaux,
GR-55,T.EUR.EUS.GR.GR-K.GR-55,Λήμνου,Lemnos,districts régionaux,
GR-56,T.EUR.EUS.GR.GR-K.GR-56,Σάμου,Samos,districts régionaux,
GR-57,T.EUR.EUS.GR.GR-K.GR-57,Χίου,Chios,districts régionaux,
GR-L1,T.EUR.EUS.GR.GR-L.GR.L1,Κυκλάδων,Cyclades,Départements,
GR-58,T.EUR.EUS.GR.GR-L.GR.L1.GR-58,Άνδρου,Andros,districts régionaux,
GR-59,T.EUR.EUS.GR.GR-L.GR.L1.GR-59,Μήλου,Milou,districts régionaux,
GR-60,T.EUR.EUS.GR.GR-L.GR.L1.GR-60,Θήρας,Chasse,districts régionaux,
GR-61,T.EUR.EUS.GR.GR-L.GR.L1.GR-61,Κέας – Κύθνου,Keas-Kythnos,districts régionaux,
GR-62,T.EUR.EUS.GR.GR-L.GR.L1.GR-62,Μυκόνου,Mykonos,districts régionaux,
GR-63,T.EUR.EUS.GR.GR-L.GR.L1.GR-63,Νάξου,Naxos,districts régionaux,
GR-64,T.EUR.EUS.GR.GR-L.GR.L1.GR-64,Σύρου,Syros,districts régionaux,
GR-65,T.EUR.EUS.GR.GR-L.GR.L1.GR-65,Τήνου,Tinos,districts régionaux,
GR-66,T.EUR.EUS.GR.GR-L.GR.L1.GR-66,Πάρου,Paros,districts régionaux,
GR-L2,T.EUR.EUS.GR.GR.L2.GR-L2,Δωδεκανήσου,Dodécanèse,Départements,
GR-67,T.EUR.EUS.GR.GR-L.GR.L2.GR-67,Καλύμνου,Kammnos,districts régionaux,
GR-68,T.EUR.EUS.GR.GR-L.GR.L2.GR-68,Καρπάθου – Ηρωικής Νήσου Κάσου,Karpathos – île héroique de Kasos,districts régionaux,
GR-69,T.EUR.EUS.GR.GR-L.GR.L2.GR-69,Κω,Kos,districts régionaux,
GR-70,T.EUR.EUS.GR.GR-L.GR.L2.GR-70,Ρόδου,Rhodes,districts régionaux,
GR-71,T.EUR.EUS.GR.GR-M.GR-71,Ηρακλείου,Héraklion,districts régionaux,
GR-72,T.EUR.EUS.GR.GR-M.GR-72,Λασιθίου,Lassithi,districts régionaux,
GR-73,T.EUR.EUS.GR.GR-M.GR-73,Ρεθύμνης,Réthymnon,districts régionaux,
GR-74,T.EUR.EUS.GR.GR-M.GR-74,Χανίων,La Canée,districts régionaux,
