order_id,customer_id,employe_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country
10271,SPLIR,6,28.01.7328,28.09.7335,06.01.7336,2,4.54000000,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA'
10272,RATTC,6,07.05.7328,06.01.7336,11.06.7329,2,98.0299990,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA'
10273,QUICK,3,03.03.7329,01.11.7336,01.02.7331,3,76.0700000,QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany'
10274,VINET,6,11.06.7329,09.02.7337,07.03.7332,1,6.01000000,Vins et alcools Chevalier,59 rue de l''Abbaye,Reims,,51100,fr
10275,MAGAA,1,19.09.7329,20.05.7337,07.04.7330,1,26.9300000,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy'
10276,TORTU,8,28.12.7329,28.10.7333,20.08.7331,3,13.8400000,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,5033,Mexico'
10277,MORGK,2,07.04.7330,06.12.7337,12.05.7331,3,125.769997,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,4179,Germany'
10278,BERGS,8,01.02.7331,02.10.7338,07.03.7332,2,92.6900020,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden'
10279,LEHMS,8,12.05.7331,10.01.7339,07.03.7332,2,25.8300000,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany'
10280,BERGS,2,20.08.7331,20.04.7339,29.07.7339,1,8.98000000,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden'
10281,ROMEY,4,20.08.7331,20.06.7335,20.07.7333,1,2.94000000,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain'
10282,ROMEY,4,28.11.7331,29.07.7339,20.07.7333,1,12.6900000,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain'
10283,LILAS,3,07.03.7332,06.11.7339,05.02.7334,3,84.8099980,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela'
10284,LEHMS,4,01.01.7333,01.09.7340,12.03.7335,1,76.5599980,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany'
10285,QUICK,1,11.04.7333,10.12.7340,02.12.7334,2,76.8300020,QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany'
10286,QUICK,8,20.07.7333,20.03.7341,06.01.7336,3,229.240005,QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany'
10287,RICAR,8,28.10.7333,28.06.7341,20.06.7335,3,12.7600000,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil'
10288,REGGC,4,05.02.7334,06.10.7341,09.02.7337,1,7.45000000,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,42100,Italy'
10289,BSBEV,7,02.12.7334,02.08.7342,20.06.7335,3,22.7700000,B''s Beverages,Fauntleroy Circus,London,,EC2 5NT,UK'
10290,COMMI,8,12.03.7335,10.11.7342,09.02.7337,1,79.6999970,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil'
10291,QUEDE,6,12.03.7335,10.11.7342,20.05.7337,2,6.4000000,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil'
10292,TRADH,1,20.06.7335,18.02.7343,01.11.7336,2,1.35000000,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil'
10293,TORTU,1,28.09.7335,29.05.7343,20.04.7339,3,21.1800000,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,5033,Mexico'
10294,RATTC,4,06.01.7336,06.09.7343,28.08.7337,2,147.259995,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA'
10295,VINET,2,01.11.7336,02.07.7344,10.01.7339,2,1.15000000,Vins et alcools Chevalier,59 rue de l''Abbaye,Reims,,51100,fr
10296,LILAS,6,09.02.7337,10.10.7344,20.04.7339,1,0.120000000,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela'
10297,BLONP,5,20.05.7337,18.11.7348,10.01.7339,2,5.74000000,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,fr
10298,HUNGO,6,28.08.7337,28.04.7345,20.04.7339,2,168.220001,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland'
10299,RICAR,4,06.12.7337,06.08.7345,06.11.7339,2,29.7600000,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil'
10300,MAGAA,2,02.10.7338,02.06.7346,20.03.7341,2,17.6800000,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy'
10301,WANDK,8,02.10.7338,02.06.7346,10.12.7340,2,45.0800020,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany'
10302,SUPRD,4,10.01.7339,10.09.7346,19.12.7346,2,6.27000000,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium'
10303,GODOS,7,20.04.7339,19.12.7346,20.03.7341,2,107.830002,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,41101,Spain'
10304,TORTU,1,29.07.7339,29.03.7347,10.12.7340,2,63.7900010,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,5033,Mexico'
10305,OLDWO,8,06.11.7339,07.07.7347,19.12.7346,3,257.619995,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA'
10306,ROMEY,1,01.09.7340,02.05.7348,02.08.7342,3,7.56000000,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain'
10307,LONEP,2,10.12.7340,10.08.7348,18.02.7343,2,0.560000000,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA'
10308,ANATR,7,20.03.7341,18.11.7348,10.11.7342,3,1.61000000,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,5021,Mexico'
10309,HUNGO,3,28.06.7341,26.02.7349,19.10.7350,1,47.2999990,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland'
10310,THEBI,8,06.10.7341,06.06.7349,06.09.7343,2,17.5200000,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA'
10311,DUMON,1,06.10.7341,06.08.7345,29.05.7343,3,24.6900010,Du monde entier,"67, rue des Cinquante Otages",Nantes,,44000,fr
10312,WANDK,2,02.08.7342,02.04.7350,28.04.7345,2,40.2599980,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany'
10313,QUICK,2,10.11.7342,11.07.7350,06.08.7345,2,1.96000000,QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany'
10314,RATTC,1,18.02.7343,19.10.7350,06.08.7345,2,74.1600040,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA'
10315,ISLAT,4,29.05.7343,27.01.7351,28.04.7345,2,41.7599980,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK'
10316,RATTC,1,06.09.7343,07.05.7351,10.09.7346,3,150.149994,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA'
10317,LONEP,6,02.07.7344,02.03.7352,29.03.7347,1,12.6900000,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA'
10318,ISLAT,8,10.10.7344,10.06.7352,06.08.7345,2,4.73000000,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK'
10319,TORTU,7,18.01.7345,18.09.7352,07.07.7347,3,64.5,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,5033,Mexico'
10320,WARTH,5,28.04.7345,26.02.7349,06.06.7349,3,34.5700000,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland'
10321,ISLAT,3,28.04.7345,27.12.7352,07.07.7347,2,3.43000000,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK'
10322,PERIC,7,06.08.7345,06.04.7353,19.10.7350,3,0.400000000,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,5033,Mexico'
10323,KOENE,4,02.06.7346,31.01.7354,02.05.7348,1,4.88000000,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany'
10324,SAVEA,9,10.09.7346,11.05.7354,29.03.7347,1,214.270004,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA'
10325,KOENE,1,19.12.7346,19.10.7350,02.05.7348,3,64.8600010,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany'
10326,BOLID,4,29.03.7347,27.11.7354,02.05.7348,2,77.9199980,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,,28023,Spain'
10327,FOLKO,2,07.07.7347,07.03.7355,02.05.7348,1,63.3600010,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden'
10328,FURIB,4,02.05.7348,01.01.7356,26.02.7349,3,87.0299990,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal'
10329,SPLIR,4,10.08.7348,09.02.7360,19.10.7350,2,191.669998,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA'
10330,LILAS,3,18.11.7348,19.07.7356,02.03.7352,1,12.75,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela'
10331,BONAP,9,18.11.7348,19.05.7360,02.04.7350,1,10.1900000,Bon app'',"12, rue des Bouchers",Marseille,,13008,fr
10332,MEREP,3,26.02.7349,27.08.7360,02.04.7350,2,52.8400000,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada'
10333,WARTH,5,06.06.7349,04.02.7357,07.05.7351,3,0.590000000,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland'
10334,VICTE,8,02.04.7350,01.12.7357,02.03.7352,2,8.56000000,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,fr
10335,HUNGO,7,11.07.7350,11.03.7358,27.01.7351,2,42.1100010,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland'
10336,PRINI,7,19.10.7350,19.06.7358,07.05.7351,2,15.5100000,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal'
10337,FRANK,4,27.01.7351,27.09.7358,10.06.7352,3,108.260002,Frankenversand,Berliner Platz 43,München,,80805,Germany'
10338,OLDWO,4,07.05.7351,05.01.7359,10.06.7352,3,84.2099990,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA'
10339,MEREP,2,02.03.7352,01.11.7359,31.01.7354,2,15.6600000,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada'
10340,BONAP,1,10.06.7352,09.02.7360,07.03.7355,3,166.309998,Bon app'',"12, rue des Bouchers",Marseille,,13008,fr
10341,SIMOB,7,10.06.7352,09.02.7360,11.05.7354,3,26.7800010,Simons bistro,Vinbæltet 34,Kobenhavn,,1734,Denmark'
10342,FRANK,4,18.09.7352,19.07.7356,31.01.7354,2,54.8300020,Frankenversand,Berliner Platz 43,München,,80805,Germany'
10343,LEHMS,4,27.12.7352,27.08.7360,19.08.7354,1,110.370003,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany'
10344,WHITC,4,06.04.7353,05.12.7360,11.05.7354,2,23.2900010,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA'
10345,QUICK,2,31.01.7354,01.10.7361,01.01.7356,2,249.059998,QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany'
10346,RATTC,3,11.05.7354,09.11.7365,07.03.7355,3,142.080002,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA'
10347,FAMIA,4,19.08.7354,19.04.7362,07.03.7355,3,3.1000000,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil'
10348,WANDK,4,27.11.7354,28.07.7362,04.02.7357,2,0.780000000,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany'
10349,SPLIR,7,07.03.7355,05.11.7362,04.02.7357,1,8.63000000,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA'
10350,LAMAI,6,01.01.7356,01.09.7363,09.01.7362,2,64.1900020,La maison d''Asie,1 rue Alsace-Lorraine,Toulouse,,31000,fr
10351,ERNSH,1,01.01.7356,01.09.7363,19.06.7358,1,162.330002,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria'
10352,FURIB,3,10.04.7356,09.02.7360,01.12.7357,3,1.30000000,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal'
10353,PICCO,7,19.07.7356,19.03.7364,01.11.7359,3,360.630005,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria'
10354,PERIC,8,27.10.7356,27.06.7364,19.06.7358,3,53.7999990,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,5033,Mexico'
10355,AROUT,6,04.02.7357,05.10.7364,19.06.7358,1,41.9500010,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK'
10356,WANDK,6,01.12.7357,01.08.7365,19.05.7360,2,36.7099990,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany'
10357,LILAS,1,11.03.7358,09.11.7365,01.10.7361,3,34.8800010,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela'
10358,LAMAI,5,19.06.7358,17.02.7366,19.05.7360,1,19.6399990,La maison d''Asie,1 rue Alsace-Lorraine,Toulouse,,31000,fr
10359,SEVES,5,27.09.7358,28.05.7366,09.02.7360,3,288.429993,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK'
10360,BLONP,4,05.01.7359,05.09.7366,01.10.7361,3,131.699997,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,fr
10361,QUICK,1,05.01.7359,05.09.7366,09.01.7362,2,183.169998,QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany'
10362,BONAP,3,01.11.7359,02.07.7367,27.08.7360,1,96.0400010,Bon app'',"12, rue des Bouchers",Marseille,,13008,fr
10363,DRACD,4,09.02.7360,10.10.7367,19.04.7362,3,30.5400010,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany'
10364,EASTC,1,09.02.7360,10.08.7371,19.04.7362,1,71.9700010,Eastern Connection,35 King George,London,,WX3 6FW,UK'
10365,ANTON,3,19.05.7360,18.01.7368,01.10.7361,2,22,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,5023,Mexico'
10366,GALED,8,27.08.7360,26.02.7372,01.06.7369,2,10.1400000,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,,8022,Spain'
10367,VAFFE,7,27.08.7360,27.04.7368,01.10.7361,3,13.5500000,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark'
10368,ERNSH,2,05.12.7360,05.08.7368,01.10.7361,2,101.949997,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria'
10369,SPLIR,8,01.10.7361,01.06.7369,01.09.7363,2,195.679993,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA'
10370,CHOPS,6,09.01.7362,09.09.7369,05.08.7368,2,1.17000000,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland'
10371,LAMAI,1,09.01.7362,09.09.7369,10.10.7367,1,0.450000000,La maison d''Asie,1 rue Alsace-Lorraine,Toulouse,,31000,fr
10372,QUEEN,5,19.04.7362,18.12.7369,01.09.7363,2,890.780029,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil'
10373,HUNGO,4,28.07.7362,28.03.7370,19.03.7364,3,124.120003,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland'
10374,WOLZA,1,28.07.7362,28.03.7370,01.09.7363,3,3.94000000,Wolski Zajazd,ul. Filtrowa 68,Warszawa,,01-012,Poland'
10375,HUNGC,3,05.11.7362,06.07.7370,01.09.7363,2,20.1200010,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA'
10376,MEREP,1,01.09.7363,02.05.7371,05.10.7364,2,20.3899990,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada'
10377,SEVES,1,01.09.7363,02.05.7371,05.10.7364,3,22.2099990,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK'
10378,FOLKO,5,10.12.7363,10.08.7371,28.05.7366,3,5.44000000,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden'
10379,QUEDE,2,19.03.7364,18.11.7371,05.10.7364,1,45.0299990,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil'
10380,HUNGO,8,27.06.7364,26.02.7372,26.01.7374,3,35.0299990,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland'
10381,LILAS,3,27.06.7364,26.02.7372,05.10.7364,3,7.99000000,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela'
10382,ERNSH,4,05.10.7364,05.06.7372,01.08.7365,1,94.7699970,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria'
10383,AROUT,8,01.08.7365,01.04.7373,17.02.7366,3,34.2400020,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK'
10384,BERGS,3,01.08.7365,01.04.7373,05.09.7366,3,168.639999,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden'
10385,SPLIR,1,09.11.7365,10.07.7373,02.07.7367,2,30.9599990,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA'
10386,FAMIA,9,17.02.7366,18.12.7369,18.01.7368,3,13.9900000,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil'
10387,SANTG,1,17.02.7366,18.10.7373,05.09.7366,2,93.6299970,Santé Gourmet,Erling Skakkes gate 78,Stavern,,4110,Norway'
10388,SEVES,2,28.05.7366,26.01.7374,05.09.7366,1,34.8600010,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK'
10389,BOTTM,4,05.09.7366,06.05.7374,10.10.7367,2,47.4199980,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada'
10390,ERNSH,6,02.07.7367,02.03.7375,27.04.7368,1,126.379997,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria'
10391,DRACD,3,02.07.7367,02.03.7375,09.09.7369,3,5.45000000,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany'
10392,PICCO,2,10.10.7367,10.06.7375,18.12.7369,3,122.459999,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria'
10393,SAVEA,1,18.01.7368,18.09.7375,06.07.7370,3,126.559998,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA'
10394,HUNGC,1,18.01.7368,18.09.7375,06.07.7370,3,30.3400000,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA'
10395,HILAA,6,27.04.7368,27.12.7375,06.07.7370,1,184.410004,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela'
10396,FRANK,1,05.08.7368,05.06.7372,02.05.7371,3,135.350006,Frankenversand,Berliner Platz 43,München,,80805,Germany'
10397,PRINI,5,05.08.7368,05.04.7376,28.03.7370,1,60.2599980,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal'
10398,SAVEA,2,01.06.7369,30.01.7377,26.02.7372,3,89.1600040,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA'
10399,VAFFE,8,09.09.7369,10.07.7373,18.11.7371,3,27.3600010,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark'
10400,EASTC,1,18.12.7369,18.08.7377,26.01.7374,3,83.9300000,Eastern Connection,35 King George,London,,WX3 6FW,UK'
10401,RATTC,1,18.12.7369,18.08.7377,05.06.7372,1,12.5100000,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA'
10402,ERNSH,8,28.03.7370,26.09.7381,05.06.7372,2,67.8799970,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria'
10403,ERNSH,4,06.07.7370,06.03.7378,26.02.7372,3,73.7900010,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria'
10404,MAGAA,2,06.07.7370,06.03.7378,18.11.7371,1,155.970001,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy'
10405,LINOD,1,02.05.7371,31.12.7378,18.09.7375,1,34.8200000,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela'
10406,QUEEN,7,10.08.7371,08.02.7383,01.04.7373,1,108.040001,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil'
10407,OTTIK,2,10.08.7371,10.04.7379,26.11.7377,2,91.4800030,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany'
10408,FOLIG,8,18.11.7371,19.07.7379,10.07.7373,1,11.2600000,Folies gourmandes,"184, chaussée de Tournai",Lille,,59000,fr
10409,OCEAN,3,26.02.7372,27.10.7379,10.07.7373,1,29.8300000,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,Argentina'
10410,BOTTM,3,05.06.7372,04.02.7380,18.10.7373,3,2.4000000,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada'
10411,BOTTM,9,05.06.7372,04.02.7380,10.06.7375,3,23.6500000,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada'
10412,WARTH,8,01.04.7373,30.11.7380,18.10.7373,2,3.77000000,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland'
10413,LAMAI,3,10.07.7373,10.03.7381,26.01.7374,2,95.6600040,La maison d''Asie,1 rue Alsace-Lorraine,Toulouse,,31000,fr
10414,FAMIA,2,10.07.7373,10.03.7381,06.05.7374,3,21.4800000,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil'
10415,HUNGC,3,18.10.7373,18.06.7381,05.04.7376,1,0.200000000,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA'
10416,WARTH,8,26.01.7374,26.09.7381,30.01.7377,3,22.7199990,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland'
10417,SIMOB,4,26.01.7374,26.09.7381,10.05.7377,3,70.2900010,Simons bistro,Vinbæltet 34,Kobenhavn,,1734,Denmark'
10418,QUICK,4,06.05.7374,04.01.7382,05.04.7376,1,17.5499990,QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany'
10419,RICSU,4,02.03.7375,31.10.7382,26.11.7377,2,137.350006,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland'
10420,WELLI,3,10.06.7375,08.02.7383,30.01.7377,1,44.1199990,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil'
10421,QUEDE,8,10.06.7375,19.03.7387,30.01.7377,1,99.2300030,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil'
10422,FRANS,2,18.09.7375,19.05.7383,06.03.7378,1,3.02000000,Franchi S.p.A.,Via Monte Bianco 34,Torino,,10100,Italy'
10423,GOURL,6,27.12.7375,27.10.7379,30.09.7384,3,24.5,Gourmet Lanchonetes,"Av. Brasil, 442",Campinas,SP,04876-786,Brazil'
