"order_id","customer_id","employe_id","order_date","required_date","shipped_date","ship_via","freight","ship_name","ship_address","ship_city","ship_region","ship_postal_code","ship_country","adresse_id","livraison_methode"
11054,CACTU,8,1998-04-28,1998-05-26,,1,0.33,Cactus Comidas para llevar,Cerrito 333,Buenos Aires,,"1010",Argentina',1012,2
11055,HILAA,7,1998-04-28,1998-05-26,1998-05-05,2,120.92,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,"5022",Venezuela',1035,3
11056,EASTC,8,1998-04-28,1998-05-12,1998-05-01,2,278.96,Eastern Connection,"35 King George",London,,WX3 6FW,UK',1019,2
11057,NORTS,3,1998-04-29,1998-05-27,1998-05-01,3,4.13,North/South,South House 300 Queensbridge,London,,SW7 1RZ,UK',1053,1
11058,BLAUS,9,1998-04-29,1998-05-27,,3,31.14,Blauer See Delikatessen,Forsterstr. 57,Mannheim,,"68306",Germany',1006,3
11059,RICAR,2,1998-04-29,1998-06-10,,2,85.8,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,"02389-890",Brazil',1067,3
11060,FRANS,2,1998-04-30,1998-05-28,1998-05-04,2,10.98,Franchi S.p.A.,Via Monte Bianco 34,Torino,,"10100",Italy',1027,0
11061,GREAL,4,1998-04-30,1998-06-11,,3,14.01,Great Lakes Food Market,"2732 Baker Blvd.",Eugene,OR,"97403",USA',1032,3
11062,REGGC,4,1998-04-30,1998-05-28,,2,29.93,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,"42100",Italy',1066,1
11063,HUNGO,3,1998-04-30,1998-05-28,1998-05-06,2,81.73,Hungry Owl All-Night Grocers,"8 Johnstown Road",Cork,Co. Cork,,Ireland',1037,0
11064,SAVEA,1,1998-05-01,1998-05-29,1998-05-04,1,30.09,Save-a-lot Markets,"187 Suffolk Ln.",Boise,ID,"83720",USA',1071,4
11065,LILAS,8,1998-05-01,1998-05-29,,1,12.91,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,"3508",Venezuela',1046,1
11066,WHITC,7,1998-05-01,1998-05-29,1998-05-04,2,44.72,White Clover Markets,"1029 - 12th Ave. S.",Seattle,WA,"98124",USA',,0
11067,DRACD,1,1998-05-04,1998-05-18,1998-05-06,2,7.98,Drachenblut Delikatessen,Walserweg 21,Aachen,,"52066",Germany',1017,3
11068,QUEEN,8,1998-05-04,1998-06-01,,2,81.75,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,SP,"05487-020",Brazil',1062,1
11069,TORTU,1,1998-05-04,1998-06-01,1998-05-06,2,15.67,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,"05033",Mexico',1080,2
11070,LEHMS,2,1998-05-05,1998-06-02,,1,136.0,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,"60528",Germany',1044,0
11071,LILAS,1,1998-05-05,1998-06-02,,1,0.93,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,"3508",Venezuela',1046,3
11072,ERNSH,4,1998-05-05,1998-06-02,,2,258.64,Ernst Handel,Kirchgasse 6,Graz,,"8010",Austria',1020,3
11073,PERIC,2,1998-05-05,1998-06-02,,2,24.95,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,"05033",Mexico',1058,4
11074,SIMOB,7,1998-05-06,1998-06-03,,2,18.44,Simons bistro,Vinbæltet 34,Kobenhavn,,"1734",Denmark',1073,1
11075,RICSU,8,1998-05-06,1998-06-03,,2,6.19,Richter Supermarkt,Starenweg 5,Genève,,"1204",Switzerland',,1
11076,BONAP,4,1998-05-06,1998-06-03,,2,38.28,Bon app'',"12, rue des Bouchers",Marseille,,"13008",fr,1009,3
11077,RATTC,1,1998-05-06,1998-06-03,,2,8.53,Rattlesnake Canyon Grocery,"2817 Milton Dr.",Albuquerque,NM,"87110",USA',1065,0
10280,BERGS,2,2023-08-14,2023-09-11,2023-09-12,1,8.98,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden',1005,0
10281,ROMEY,4,2023-08-14,2023-08-28,2023-08-21,1,2.94,Romero y tomillo,"Gran Vía, 1",Madrid,,"28001",Spain',1069,2
10282,ROMEY,4,2023-08-15,2023-09-12,2023-08-21,1,12.69,Romero y tomillo,"Gran Vía, 1",Madrid,,"28001",Spain',1069,2
10248,VINET,5,2023-07-04,2023-08-01,2023-07-16,3,32.38,Vins et alcools Chevalier,"59 rue de l''Abbaye",Reims,,"51100",France,,2
10254,CHOPS,5,2023-07-11,2023-08-08,2023-07-23,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,"3012",Switzerland',,4
10255,RICSU,9,2023-07-12,2023-08-09,2023-07-15,3,148.33,Richter Supermarkt,Starenweg 5,Genève,,"1204",Switzerland',,1
10269,WHITC,5,2023-07-31,2023-08-14,2023-08-09,1,4.56,White Clover Markets,"1029 - 12th Ave. S.",Seattle,WA,"98124",USA',,2
10274,VINET,6,2023-08-06,2023-09-03,2023-08-16,1,6.01,Vins et alcools Chevalier,"59 rue de l''Abbaye",Reims,,"51100",fr,,2
10295,VINET,2,2023-09-02,2023-09-30,2023-09-10,2,1.15,Vins et alcools Chevalier,"59 rue de l''Abbaye",Reims,,"51100",fr,,3
10303,GODOS,7,2023-09-11,2023-10-09,2023-09-18,2,107.83,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,"41101",Spain',,3
10344,WHITC,4,2023-11-01,2023-11-29,2023-11-05,2,23.29,White Clover Markets,"1029 - 12th Ave. S.",Seattle,WA,"98124",USA',,3
10355,AROUT,6,2023-11-15,2023-12-13,2023-11-20,1,41.95,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK',,3
10370,CHOPS,6,2023-12-03,2023-12-31,2023-12-27,2,1.17,Chop-suey Chinese,Hauptstr. 31,Bern,,"3012",Switzerland',,1
10383,AROUT,8,2023-12-16,2024-01-13,2023-12-18,3,34.24,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK',,3
10419,RICSU,4,2024-01-20,2024-02-17,2024-01-30,2,137.35,Richter Supermarkt,Starenweg 5,Genève,,"1204",Switzerland',,1
10453,AROUT,1,2024-02-21,2024-03-21,2024-02-26,2,25.36,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK',,4
10469,WHITC,1,2024-03-10,2024-04-07,2024-03-14,1,60.18,White Clover Markets,"1029 - 12th Ave. S.",Seattle,WA,"98124",USA',,2
10483,WHITC,7,2024-03-24,2024-04-21,2024-04-25,2,15.28,White Clover Markets,"1029 - 12th Ave. S.",Seattle,WA,"98124",USA',,4
10495,LAUGB,3,2024-04-03,2024-05-01,2024-04-11,3,4.65,Laughing Bacchus Wine Cellars,"2319 Elm St.",Vancouver,BC,V3F 2K1,Canada',,2
10504,WHITC,4,2024-04-11,2024-05-09,2024-04-18,3,59.13,White Clover Markets,"1029 - 12th Ave. S.",Seattle,WA,"98124",USA',,3
10519,CHOPS,6,2024-04-28,2024-05-26,2024-05-01,3,91.76,Chop-suey Chinese,Hauptstr. 31,Bern,,"3012",Switzerland',,3
10537,RICSU,1,2024-05-14,2024-05-28,2024-05-19,1,78.85,Richter Supermarkt,Starenweg 5,Genève,,"1204",Switzerland',,2
10550,GODOS,7,2024-05-28,2024-06-25,2024-06-06,3,4.32,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,"41101",Spain',,3
10558,AROUT,1,2024-06-04,2024-07-02,2024-06-10,2,72.97,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK',,3
10596,WHITC,8,2024-07-11,2024-08-08,2024-08-12,1,16.34,White Clover Markets,"1029 - 12th Ave. S.",Seattle,WA,"98124",USA',,1
10620,LAUGB,2,2024-08-05,2024-09-02,2024-08-14,3,0.94,Laughing Bacchus Wine Cellars,"2319 Elm St.",Vancouver,BC,V3F 2K1,Canada',,2
10629,GODOS,4,2024-08-12,2024-09-09,2024-08-20,3,85.46,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,"41101",Spain',,3
10666,RICSU,7,2024-09-12,2024-10-10,2024-09-22,2,232.42,Richter Supermarkt,Starenweg 5,Genève,,"1204",Switzerland',,2
10693,WHITC,3,2024-10-06,2024-10-20,2024-10-10,3,139.34,White Clover Markets,"1029 - 12th Ave. S.",Seattle,WA,"98124",USA',,1
10696,WHITC,8,2024-10-08,2024-11-19,2024-10-14,3,102.55,White Clover Markets,"1029 - 12th Ave. S.",Seattle,WA,"98124",USA',,0
10707,AROUT,4,2024-10-16,2024-10-30,2024-10-23,3,21.74,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK',,2
10723,WHITC,3,2024-10-30,2024-11-27,2024-11-25,1,21.72,White Clover Markets,"1029 - 12th Ave. S.",Seattle,WA,"98124",USA',,0
10731,CHOPS,7,2024-11-06,2024-12-04,2024-11-14,1,96.65,Chop-suey Chinese,Hauptstr. 31,Bern,,"3012",Switzerland',,2
10737,VINET,2,2024-11-11,2024-12-09,2024-11-18,2,7.79,Vins et alcools Chevalier,"59 rue de l''Abbaye",Reims,,"51100",fr,,3
10739,VINET,3,2024-11-12,2024-12-10,2024-11-17,3,11.08,Vins et alcools Chevalier,"59 rue de l''Abbaye",Reims,,"51100",fr,,0
10740,WHITC,4,2024-11-13,2024-12-11,2024-11-25,2,81.88,White Clover Markets,"1029 - 12th Ave. S.",Seattle,WA,"98124",USA',,1
10741,AROUT,4,2024-11-14,2024-11-28,2024-11-18,3,10.96,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK',,0
10743,AROUT,1,2024-11-17,2024-12-15,2024-11-21,2,23.72,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK',,3
10746,CHOPS,1,2024-11-19,2024-12-17,2024-11-21,3,31.43,Chop-suey Chinese,Hauptstr. 31,Bern,,"3012",Switzerland',,2
10751,RICSU,3,2024-11-24,2024-12-22,2024-12-03,3,130.79,Richter Supermarkt,Starenweg 5,Genève,,"1204",Switzerland',,4
10758,RICSU,3,2024-11-28,2024-12-26,2024-12-04,3,138.17,Richter Supermarkt,Starenweg 5,Genève,,"1204",Switzerland',,0
10768,AROUT,3,2024-12-08,1998-01-05,2024-12-15,2,146.32,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK',,4
10793,AROUT,3,2024-12-24,1998-01-21,1998-01-08,3,4.52,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK',,1
10810,LAUGB,2,1998-01-01,1998-01-29,1998-01-07,3,4.33,Laughing Bacchus Wine Cellars,"2319 Elm St.",Vancouver,BC,V3F 2K1,Canada',,2
10861,WHITC,4,1998-01-30,1998-02-27,1998-02-17,2,14.93,White Clover Markets,"1029 - 12th Ave. S.",Seattle,WA,"98124",USA',,1
10864,AROUT,4,1998-02-02,1998-03-02,1998-02-09,2,3.04,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK',,1
10872,GODOS,5,1998-02-05,1998-03-05,1998-02-09,2,175.32,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,"41101",Spain',,1
10874,GODOS,5,1998-02-06,1998-03-06,1998-02-11,2,19.58,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,"41101",Spain',,0
10888,GODOS,1,1998-02-16,1998-03-16,1998-02-23,2,51.87,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,"41101",Spain',,2
10904,WHITC,3,1998-02-24,1998-03-24,1998-02-27,3,162.95,White Clover Markets,"1029 - 12th Ave. S.",Seattle,WA,"98124",USA',,4
10911,GODOS,3,1998-02-26,1998-03-26,1998-03-05,1,38.19,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,"41101",Spain',,1
10920,AROUT,4,1998-03-03,1998-03-31,1998-03-09,2,29.61,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK',,3
10931,RICSU,4,1998-03-06,1998-03-20,1998-03-19,2,13.6,Richter Supermarkt,Starenweg 5,Genève,,"1204",Switzerland',,2
10948,GODOS,3,1998-03-13,1998-04-10,1998-03-19,3,23.39,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,"41101",Spain',,0
10951,RICSU,9,1998-03-16,1998-04-27,1998-04-07,2,30.85,Richter Supermarkt,Starenweg 5,Genève,,"1204",Switzerland',,3
10953,AROUT,9,1998-03-16,1998-03-30,1998-03-25,2,23.72,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK',,0
10966,CHOPS,4,1998-03-20,1998-04-17,1998-04-08,1,27.19,Chop-suey Chinese,Hauptstr. 31,Bern,,"3012",Switzerland',,2
11009,GODOS,2,1998-04-08,1998-05-06,1998-04-10,1,59.11,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,"41101",Spain',,2
11016,AROUT,9,1998-04-10,1998-05-08,1998-04-13,2,33.8,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK',,1
11029,CHOPS,4,1998-04-16,1998-05-14,1998-04-27,1,47.84,Chop-suey Chinese,Hauptstr. 31,Bern,,"3012",Switzerland',,2
11032,WHITC,2,1998-04-17,1998-05-15,1998-04-23,3,606.19,White Clover Markets,"1029 - 12th Ave. S.",Seattle,WA,"98124",USA',,1
11033,RICSU,7,1998-04-17,1998-05-15,1998-04-23,3,84.74,Richter Supermarkt,Starenweg 5,Genève,,"1204",Switzerland',,2
11037,GODOS,7,1998-04-21,1998-05-19,1998-04-27,1,3.2,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,"41101",Spain',,2
11041,CHOPS,3,1998-04-22,1998-05-20,1998-04-28,2,48.22,Chop-suey Chinese,Hauptstr. 31,Bern,,"3012",Switzerland',,2
11006,GREAL,3,1998-04-07,1998-05-05,1998-04-15,2,25.19,Great Lakes Food Market,"2732 Baker Blvd.",Eugene,OR,"97403",USA',1032,3
11007,PRINI,8,1998-04-08,1998-05-06,1998-04-13,2,202.24,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,"1756",Portugal',1060,1
11008,ERNSH,7,1998-04-08,1998-05-06,,3,79.46,Ernst Handel,Kirchgasse 6,Graz,,"8010",Austria',1020,2
11010,REGGC,2,1998-04-09,1998-05-07,1998-04-21,2,28.71,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,"42100",Italy',1066,1
11011,ALFKI,3,1998-04-09,1998-05-07,1998-04-13,1,1.21,Alfred''s Futterkiste,Obere Str. 57,Berlin,,"12209",Germany',1001,1
11012,FRANK,1,1998-04-09,1998-04-23,1998-04-17,3,242.95,Frankenversand,Berliner Platz 43,München,,"80805",Germany',1025,1
11013,ROMEY,2,1998-04-09,1998-05-07,1998-04-10,1,32.99,Romero y tomillo,"Gran Vía, 1",Madrid,,"28001",Spain',1069,1
11014,LINOD,2,1998-04-10,1998-05-08,1998-04-15,3,23.6,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,"4980",Venezuela',1047,3
11015,SANTG,2,1998-04-10,1998-04-24,1998-04-20,2,4.62,Santé Gourmet,Erling Skakkes gate 78,Stavern,,"4110",Norway',1070,2
11017,ERNSH,9,1998-04-13,1998-05-11,1998-04-20,2,754.26,Ernst Handel,Kirchgasse 6,Graz,,"8010",Austria',1020,1
11018,LONEP,4,1998-04-13,1998-05-11,1998-04-16,2,11.65,Lonesome Pine Restaurant,"89 Chiaroscuro Rd.",Portland,OR,"97219",USA',1048,2
11019,RANCH,6,1998-04-13,1998-05-11,,3,3.17,Rancho grande,Av. del Libertador 900,Buenos Aires,,"1010",Argentina',1064,4
11020,OTTIK,2,1998-04-14,1998-05-12,1998-04-16,2,43.3,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,"50739",Germany',1056,3
11021,QUICK,3,1998-04-14,1998-05-12,1998-04-21,1,297.18,QUICK-Stop,Taucherstraße 10,Cunewalde,,"01307",Germany',1063,3
11022,HANAR,9,1998-04-14,1998-05-12,1998-05-04,2,6.27,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,"05454-876",Brazil',1034,0
10283,LILAS,3,2023-08-16,2023-09-13,2023-08-23,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,"3508",Venezuela',1046,4
10284,LEHMS,4,2023-08-19,2023-09-16,2023-08-27,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,"60528",Germany',1044,2
10285,QUICK,1,2023-08-20,2023-09-17,2023-08-26,2,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,,"01307",Germany',1063,3
10286,QUICK,8,2023-08-21,2023-09-18,2023-08-30,3,229.24,QUICK-Stop,Taucherstraße 10,Cunewalde,,"01307",Germany',1063,0
10287,RICAR,8,2023-08-22,2023-09-19,2023-08-28,3,12.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,"02389-890",Brazil',1067,3
10288,REGGC,4,2023-08-23,2023-09-20,2023-09-03,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,"42100",Italy',1066,4
10289,BSBEV,7,2023-08-26,2023-09-23,2023-08-28,3,22.77,B''s Beverages,Fauntleroy Circus,London,,EC2 5NT,UK',1011,3
10290,COMMI,8,2023-08-27,2023-09-24,2023-09-03,1,79.7,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,"05432-043",Brazil',1015,1
10291,QUEDE,6,2023-08-27,2023-09-24,2023-09-04,2,6.4,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,"02389-673",Brazil',1061,4
10292,TRADH,1,2023-08-28,2023-09-25,2023-09-02,2,1.35,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,SP,"05634-030",Brazil',1081,2
10293,TORTU,1,2023-08-29,2023-09-26,2023-09-11,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,"05033",Mexico',1080,3
10294,RATTC,4,2023-08-30,2023-09-27,2023-09-05,2,147.26,Rattlesnake Canyon Grocery,"2817 Milton Dr.",Albuquerque,NM,"87110",USA',1065,3
10296,LILAS,6,2023-09-03,2023-10-01,2023-09-11,1,0.12,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,"3508",Venezuela',1046,1
10297,BLONP,5,2023-09-04,2023-10-16,2023-09-10,2,5.74,Blondel père et fils,"24, place Kléber",Strasbourg,,"67000",fr,1007,4
10298,HUNGO,6,2023-09-05,2023-10-03,2023-09-11,2,168.22,Hungry Owl All-Night Grocers,"8 Johnstown Road",Cork,Co. Cork,,Ireland',1037,3
10299,RICAR,4,2023-09-06,2023-10-04,2023-09-13,2,29.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,"02389-890",Brazil',1067,0
10300,MAGAA,2,2023-09-09,2023-10-07,2023-09-18,2,17.68,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,"24100",Italy',1049,1
10301,WANDK,8,2023-09-09,2023-10-07,2023-09-17,2,45.08,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,"70563",Germany',1086,4
10302,SUPRD,4,2023-09-10,2023-10-08,2023-10-09,2,6.27,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium',1076,1
10304,TORTU,1,2023-09-12,2023-10-10,2023-09-17,2,63.79,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,"05033",Mexico',1080,4
10305,OLDWO,8,2023-09-13,2023-10-11,2023-10-09,3,257.62,Old World Delicatessen,"2743 Bering St.",Anchorage,AK,"99508",USA',1055,2
10306,ROMEY,1,2023-09-16,2023-10-14,2023-09-23,3,7.56,Romero y tomillo,"Gran Vía, 1",Madrid,,"28001",Spain',1069,3
10307,LONEP,2,2023-09-17,2023-10-15,2023-09-25,2,0.56,Lonesome Pine Restaurant,"89 Chiaroscuro Rd.",Portland,OR,"97219",USA',1048,2
10308,ANATR,7,2023-09-18,2023-10-16,2023-09-24,3,1.61,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,"05021",Mexico',1002,0
10309,HUNGO,3,2023-09-19,2023-10-17,2023-10-23,1,47.3,Hungry Owl All-Night Grocers,"8 Johnstown Road",Cork,Co. Cork,,Ireland',1037,4
10310,THEBI,8,2023-09-20,2023-10-18,2023-09-27,2,17.52,The Big Cheese,"89 Jefferson Way Suite 2",Portland,OR,"97201",USA',1077,2
10311,DUMON,1,2023-09-20,2023-10-04,2023-09-26,3,24.69,Du monde entier,"67, rue des Cinquante Otages",Nantes,,"44000",fr,1018,2
10312,WANDK,2,2023-09-23,2023-10-21,2023-10-03,2,40.26,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,"70563",Germany',1086,0
10313,QUICK,2,2023-09-24,2023-10-22,2023-10-04,2,1.96,QUICK-Stop,Taucherstraße 10,Cunewalde,,"01307",Germany',1063,3
10314,RATTC,1,2023-09-25,2023-10-23,2023-10-04,2,74.16,Rattlesnake Canyon Grocery,"2817 Milton Dr.",Albuquerque,NM,"87110",USA',1065,2
10315,ISLAT,4,2023-09-26,2023-10-24,2023-10-03,2,41.76,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK',1038,2
10316,RATTC,1,2023-09-27,2023-10-25,2023-10-08,3,150.15,Rattlesnake Canyon Grocery,"2817 Milton Dr.",Albuquerque,NM,"87110",USA',1065,2
10317,LONEP,6,2023-09-30,2023-10-28,2023-10-10,1,12.69,Lonesome Pine Restaurant,"89 Chiaroscuro Rd.",Portland,OR,"97219",USA',1048,0
10318,ISLAT,8,2023-10-01,2023-10-29,2023-10-04,2,4.73,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK',1038,4
10319,TORTU,7,2023-10-02,2023-10-30,2023-10-11,3,64.5,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,"05033",Mexico',1080,2
10320,WARTH,5,2023-10-03,2023-10-17,2023-10-18,3,34.57,Wartian Herkku,Torikatu 38,Oulu,,"90110",Finland',1087,2
10321,ISLAT,3,2023-10-03,2023-10-31,2023-10-11,2,3.43,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK',1038,1
